xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1632,-733,683,183,-436,101
-1401,-657,702,258,-436,167
-1030,-551,590,272,-436,179
-732,-560,299,283,-436,175
-391,-732,302,376,-436,191
-153,-603,309,406,-436,148
-85,-437,418,369,-436,149
103,-500,265,338,-436,143
112,-507,393,313,-436,157
246,-452,136,268,-436,145
513,-432,-153,114,-392,90
468,-450,-103,44,-263,103
216,-543,-124,9,-247,112
361,-762,-380,7,-240,91
375,-831,-658,110,-199,4
357,-533,-784,112,-149,-43
698,-602,-928,35,-107,-1
836,-887,-1088,29,-74,-26
964,-689,-1183,6,-13,-71
958,-638,-1151,-57,14,-71
1027,-679,-1064,-92,18,-68
961,-576,-833,-155,21,-97
830,-417,-622,-203,-17,-89
758,-300,-559,-262,-68,-67
722,-133,-489,-272,-114,-40
601,36,-395,-247,-185,24
605,187,-581,-244,-263,112
560,133,-823,-274,-283,201
356,90,-919,-243,-315,290
319,-67,-1252,-213,-302,349
235,-84,-1273,-149,-219,375
57,-99,-1493,-122,-136,402
57,-187,-1667,-120,8,436
-39,-560,-1560,-144,189,436
-183,-999,-1307,-64,314,436
-257,-1000,-913,-72,420,436
-706,-1448,-272,-227,436,325
-706,-1492,-474,37,436,205
-1287,-696,-353,-40,436,134
-1961,-1321,-578,-171,436,-96
-1961,-1131,-667,-42,436,-272
-1961,-369,-114,133,436,-240
-1961,486,366,403,436,-221
-1961,1524,1099,179,436,-93
-1961,318,1961,-37,436,-110
-1961,434,1255,125,142,-285
-1961,1224,838,115,87,-229
-1918,1393,1391,3,325,-156
-1961,1182,1887,5,273,-93
-1866,1020,1961,-32,111,-62
-1687,797,1934,-86,-26,-47
-1702,430,1584,-84,-159,9
-1477,77,1203,-115,-280,7
-1508,-219,927,-144,-393,-12
-1245,-210,516,-103,-436,3
-731,-114,301,-104,-381,17
-313,34,260,-160,-234,4
-156,70,254,-230,-103,22
-59,-49,269,-267,25,83
-66,-10,335,-304,87,117
-184,-156,356,-347,93,179
-336,-541,397,-267,83,277
-383,-609,468,-154,62,292
-489,-486,477,-123,120,327
-775,-675,649,-142,166,344
-840,-504,564,-198,167,290
-1148,-742,642,-180,201,298
-1277,-794,777,-66,189,269
-1190,-395,709,-60,153,185
-1123,-128,584,-141,170,162
-1244,-240,617,-179,221,182
-1346,-467,747,-149,199,162
-1301,-542,821,-83,118,99
-1179,-435,762,-33,41,39
-1077,-297,681,-11,-5,-9
-992,-132,606,-20,-33,-40
-928,-81,536,-40,-40,-49
-897,-88,513,-39,-33,-51
-907,-70,501,-19,-27,-50
-910,-71,502,0,-32,-43
-931,-68,477,25,-34,-41
-933,-25,468,38,-35,-42
-924,12,466,27,-34,-44
-921,10,471,9,-32,-46
-925,6,472,3,-34,-47
-916,19,462,0,-39,-44
