xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1578,-1101,104,156,-358,-436
-1420,-1044,-87,227,-413,-436
-1261,-872,-118,313,-431,-436
-1101,-609,-108,353,-436,-436
-934,-454,-76,239,-436,-436
-756,-505,-251,241,-436,-436
-550,-196,-462,311,-436,-436
-359,17,-718,347,-436,-436
-184,256,-960,269,-374,-436
-281,226,-1013,238,-179,-436
-516,581,-1093,377,-238,-436
-124,1046,-1451,309,-242,-436
-34,1253,-1625,201,-115,-436
-85,1748,-1503,309,-80,-264
151,1931,-1000,-97,-56,-41
-11,1001,-679,-418,-62,72
-122,431,-731,-279,-94,152
-86,407,-1000,-173,-161,172
227,590,-1312,-98,-167,187
393,871,-1381,-115,-127,248
397,796,-1449,-246,-90,323
471,581,-1538,-364,-70,382
582,309,-1524,-389,-27,415
650,98,-1428,-344,56,428
607,-103,-1267,-192,201,394
492,-120,-1073,-4,321,374
88,17,-762,275,436,399
-181,91,-817,436,436,353
-828,302,-993,436,436,218
-1961,1415,208,436,436,114
-1961,1961,1961,436,436,242
-312,1961,1853,436,9,436
880,1961,1622,-436,120,231
584,-194,704,-436,394,22
94,-1961,731,-436,27,-436
490,-831,747,436,-207,-85
435,749,1158,436,-214,-37
490,1120,992,61,-72,-58
334,596,928,-436,70,-104
196,137,801,-436,152,-92
-34,-655,696,-430,196,-122
-269,-169,796,-65,147,-128
-223,-66,775,-108,-43,-89
361,-121,455,-51,-139,-72
680,209,501,17,37,9
641,311,472,-120,129,104
527,149,526,-171,206,219
349,148,414,-238,224,377
135,-292,431,-361,298,436
-309,-900,682,-200,390,436
-813,-910,1048,20,401,436
-961,-819,1193,-83,238,430
-814,-1102,1002,-105,190,436
-876,-948,910,71,335,436
-1079,-410,787,73,436,436
-1584,-342,672,-134,436,423
-1915,-544,499,-348,436,282
-1775,-595,405,-340,297,233
-1612,-542,417,-296,150,221
-1328,-505,362,-254,107,193
-1276,-517,252,-312,101,145
-1134,-612,149,-216,77,86
-1170,-579,147,-101,108,69
-1219,-510,183,44,70,40
-1103,-362,197,189,8,14
-978,-115,173,256,-40,-19
-924,166,126,178,-52,-45
-945,198,51,62,-72,-66
-896,139,-13,-1,-74,-64
-846,141,-38,-19,-55,-62
-822,121,-57,-45,-39,-55
-809,59,-63,-42,-19,-47
-819,43,-47,-25,0,-42
-851,68,-16,2,11,-24
-885,61,21,10,17,-12
-901,28,45,14,24,-11
-900,9,66,17,26,-10
-915,-22,90,30,32,-5
-928,-32,114,51,25,-3
-917,-21,123,65,20,-2
-926,-1,139,74,14,0
-921,18,147,70,7,2
-919,35,152,60,6,2
-933,67,155,27,-1,0
-902,39,125,-9,-5,-7
-898,6,106,-24,-3,-8
