xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1961,-834,-360,329,-362,-436
-1961,-808,-453,292,-436,-436
-1747,-642,-319,322,-400,-436
-1589,-496,-247,306,-427,-436
-1212,-359,-281,296,-435,-436
-1009,-272,-252,333,-407,-436
-693,-141,-317,436,-413,-357
-417,-65,-298,436,-404,-245
-360,21,-216,436,-421,-143
-274,171,-353,436,-436,-34
-133,229,-372,436,-436,4
58,213,-397,172,-436,-52
107,160,-603,4,-360,-45
-73,39,-668,-23,-289,-56
-246,-101,-906,36,-283,-77
-249,14,-1217,347,-302,-6
-129,48,-1599,279,-292,-9
260,93,-1768,436,-272,46
338,191,-1700,261,-198,99
432,10,-1961,24,-241,35
531,-179,-1961,-109,-161,14
374,-135,-1961,-69,-15,8
227,-163,-1961,-135,124,-32
302,-89,-1961,-155,308,-32
35,38,-1787,-195,434,-2
-16,0,-1329,-325,436,21
12,-193,-1083,-423,436,29
73,-267,-781,-340,436,56
140,-259,-443,-210,406,77
217,-219,-313,10,366,88
297,-84,-255,199,365,51
327,98,-152,160,374,0
212,94,-137,76,436,47
-16,19,-139,-5,436,7
-283,-32,-180,-207,436,-4
-589,-237,-282,-299,436,-69
-839,-114,-248,-436,436,-135
-1200,-210,34,-436,436,-78
-811,-626,124,-230,436,29
-1207,-340,594,-38,436,20
-1201,-50,730,-42,418,35
-1125,-149,600,-110,436,42
-1266,-97,635,-161,436,31
-1450,-119,413,-381,436,18
-1772,-381,443,-436,436,101
-1941,-645,406,-436,436,121
-1961,-738,568,-436,401,173
-1961,-1078,271,-436,180,175
-1798,-1186,230,-405,151,167
-1746,-1222,360,-267,85,153
-1347,-1153,326,-181,20,105
-1205,-947,278,-27,37,91
-1064,-679,173,-32,23,66
-967,-627,158,-55,86,60
-1099,-556,220,-33,105,46
-1039,-445,165,-66,56,12
-931,-425,100,-129,36,-15
-923,-470,58,-97,29,-27
-935,-367,44,-33,12,-33
-898,-315,-24,1,1,-27
-865,-245,-54,12,15,-23
-891,-202,-51,-17,21,-21
-853,-214,-25,-63,-6,-16
-784,-280,-11,-69,-17,-5
-737,-273,-5,-19,8,1
-822,-222,25,-1,29,11
-878,-209,2,-34,16,19
-878,-284,-43,-63,-7,21
-824,-348,-108,-40,-4,12
-824,-301,-95,25,18,13
-847,-223,-44,44,22,22
-858,-210,-29,29,12,19
-860,-200,-22,15,13,11
-902,-201,-35,10,7,9
-869,-187,-73,0,-8,4
-830,-183,-76,-24,-3,-6
-839,-200,-48,-52,-1,-11
-826,-214,-32,-55,-3,-9
-829,-244,-59,-46,0,-7
-854,-246,-67,-32,5,-6
-871,-240,-51,-3,4,1
-872,-219,-36,11,3,3
-877,-192,-30,20,2,-3
-853,-137,-48,24,-2,-2
-812,-115,-85,-2,0,2
-821,-131,-64,-58,5,-4
