xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1109,-650,-137,80,-49,282
-1364,-555,-155,47,-1,337
-1267,-477,-172,-73,39,275
-1354,-441,-90,-186,57,207
-1393,-517,-51,-144,-20,169
-1206,-432,-121,-24,-64,156
-1072,-287,-196,62,-48,137
-1002,-163,-206,96,-25,109
-989,-93,-135,53,-5,68
-955,-32,-73,-25,11,1
-929,-56,-41,-68,27,-30
-927,-45,33,-3,26,-42
-921,38,78,51,17,-37
-902,91,93,63,8,-30
-883,126,86,70,6,-19
-894,154,100,48,11,-11
-897,138,101,4,12,-17
-914,105,124,-3,17,-17
-932,98,126,15,8,-11
-926,101,125,27,1,-12
-928,123,129,25,-3,-11
-901,135,105,7,-6,-15
-881,110,90,-23,1,-12
-909,59,95,-28,3,-12
-916,47,97,-31,0,-17
-944,41,63,-67,9,-17
-1130,-135,71,-257,36,-64
-1222,-535,-111,-436,57,-185
-1290,-1036,-277,-436,74,-296
-1390,-1555,-482,-410,166,-384
-1669,-1961,-860,-147,226,-403
-1931,-1837,-1357,126,226,-436
-1961,-1640,-1731,325,301,-436
-1961,-1353,-1586,388,381,-436
-1961,-1260,-1550,329,388,-436
-1961,-1194,-1561,362,393,-436
-1961,-837,-1376,436,434,-436
-1961,-514,-1070,436,355,-436
-1634,-163,-700,436,169,-436
-1260,102,-369,436,31,-436
-886,163,-161,312,-36,-436
-545,91,-72,112,2,-436
-381,28,75,-3,99,-436
-489,-89,43,-135,294,-436
-905,-395,91,40,326,-436
-1124,-12,103,373,323,-436
-1530,342,214,436,314,-436
-1961,671,363,436,183,-436
-1772,1783,221,436,52,-436
-1581,1961,-468,436,168,-256
-1579,1961,-644,260,-192,101
-1150,1961,-835,-258,-393,412
-532,1602,-1156,-436,-309,436
-469,1000,-1043,-371,-185,436
-384,881,-1106,-436,-167,436
-255,579,-1007,-436,-138,436
-363,583,-686,-436,-247,436
117,699,-1287,-436,-274,436
291,259,-1743,-436,-153,436
490,-125,-1961,-436,-108,436
418,-674,-1961,-436,-42,436
278,-1560,-1961,-436,142,436
-264,-1221,-1961,-436,436,436
-993,-1845,-1961,-271,436,436
-860,-1741,-1961,-304,436,416
-1386,-1961,-1665,-77,436,436
-1580,-1578,-714,353,436,379
-1721,-991,-24,398,436,376
-1961,-640,540,436,436,296
-1961,-86,1316,436,436,171
-1961,328,1250,-282,-297,0
-1163,-197,169,-436,-326,-1
-1691,-353,156,-301,-413,47
-1328,44,-233,-436,-436,77
-1561,-365,-285,-436,-436,104
-1885,-192,-325,-436,-436,99
-1961,-55,-494,-436,-436,71
-1961,-180,-837,-436,-436,0
-1961,-334,-788,-436,-436,-50
-1961,-12,-978,-340,-436,-120
-1957,282,-1411,-361,-436,-73
-1961,439,-1961,-264,-436,-107
-1714,38,-1961,-436,-436,-95
-235,33,-1961,-168,-436,-250
441,711,-1742,-393,-436,262
23,-844,-1928,-436,-58,48
