xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1904,-1359,526,-168,-306,-436
-1582,-1190,249,-157,-239,-436
-1440,-881,248,-92,-189,-436
-1196,-620,241,-123,-154,-436
-929,-267,281,-99,-117,-436
-720,184,300,-120,-102,-436
-537,282,334,-202,-72,-436
-338,417,236,-288,-14,-436
-216,484,189,-322,115,-436
-339,644,352,-308,177,-409
-258,513,350,-318,238,-395
-471,507,512,-247,332,-405
-798,841,817,-214,343,-420
-702,835,893,-202,291,-360
-684,1066,1175,-211,339,-418
-890,1961,1961,-60,236,-294
-771,1961,1961,9,-140,-7
-504,1961,1843,82,-388,228
-485,1753,1344,185,-375,404
-815,1554,1011,172,-332,436
-943,1240,692,60,-278,436
-920,901,460,43,-255,436
-594,466,34,91,-226,436
-344,446,-139,126,-139,436
-308,84,-289,88,-70,436
-131,-381,-405,92,-2,436
-3,-591,-544,135,93,436
-256,-1264,-438,91,185,436
-241,-1561,-344,122,244,436
-453,-1961,-208,37,290,293
-352,-1961,7,158,378,149
-358,-1961,569,143,414,-39
-272,-1961,997,118,429,-187
-519,-1861,1405,83,404,-280
-698,-1552,1635,103,363,-394
-899,-1081,1961,46,329,-436
-936,-1010,1883,9,231,-436
-1032,-643,1961,133,198,-436
-1056,73,1961,45,79,-436
-787,140,1785,-27,13,-436
-752,585,1545,104,-52,-436
-336,1272,1137,112,-74,-354
-66,1650,977,96,-14,-230
178,1961,837,142,-8,14
105,1961,687,-78,47,179
-222,1961,896,-12,144,436
-1123,1961,1589,-53,130,436
-1617,1151,1832,48,-41,436
-1688,962,1961,42,-30,436
-1961,-161,1961,105,-104,436
-1782,124,1727,420,-78,436
-1961,569,1961,123,161,436
-1961,-753,1961,112,-24,436
-1961,-589,1322,65,-87,436
-1564,-1961,764,-43,-53,436
-617,-1961,973,203,12,156
-604,-1007,1179,212,-56,-89
22,-106,930,148,-76,-48
82,-252,914,-24,20,-47
-82,-305,953,-71,65,-62
-149,-274,936,-144,103,-100
-302,-267,853,-219,148,-141
-462,-351,723,-229,191,-172
-563,-346,690,-142,238,-186
-458,-105,688,-65,277,-202
-378,155,717,-68,316,-186
-244,352,769,-135,330,-121
-310,257,758,-224,334,-7
-386,10,718,-227,361,100
-617,-33,828,-194,418,157
-1037,-125,924,-206,383,219
-1264,-224,969,-131,292,269
-1336,-246,897,-87,186,290
-1289,-37,786,-105,189,227
-1669,-41,914,-152,184,212
-1560,1,821,-208,120,188
-1528,-111,735,-246,115,189
-1566,-565,940,-203,97,185
-1399,-491,919,-73,10,167
-1111,-504,556,-11,-43,100
-1053,-312,544,6,-46,5
-934,-99,499,-14,-46,-54
-887,18,487,-55,-35,-62
-857,23,458,-90,-28,-47
-859,-58,435,-99,-24,-37
-877,-100,417,-80,-22,-36
