xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1961,-662,-608,218,-310,-436
-1961,-384,-707,310,-436,-436
-1961,42,-688,338,-436,-436
-1839,185,-456,273,-436,-436
-1357,336,-421,189,-436,-436
-818,446,-224,95,-436,-436
-468,433,-119,-2,-361,-436
-700,478,102,-100,-260,-436
-662,575,25,-218,-270,-436
-519,416,-199,-351,-121,-436
-794,116,-86,-350,70,-436
-1449,189,113,-163,160,-436
-1961,1185,1144,94,-39,-436
-1961,1961,1741,436,-436,-349
-1961,1961,-625,147,-436,-101
1961,1961,-1961,267,-436,436
-753,1961,-727,74,430,436
-1961,1961,0,-198,436,436
-1961,1023,-446,-360,-436,436
305,949,-1695,-167,-436,436
237,421,-1530,-80,-13,436
-632,219,-1294,-16,314,436
-852,-1012,-1320,-106,362,436
-133,-1961,-1885,-167,436,306
-455,-1961,-1412,-135,436,215
-811,-1961,-267,-11,436,-127
-1055,-1961,1113,355,436,-295
-1961,-1306,1961,316,436,-436
-1961,-151,1961,386,242,-436
-1246,1166,1961,342,-124,-436
-467,1961,1961,138,-169,-387
-313,1961,1708,-101,-125,-218
-393,1871,1142,-118,-164,85
-309,1247,702,-6,-55,297
-538,968,707,166,96,436
-613,987,853,302,239,436
-879,1335,1101,240,311,436
-1145,1155,1314,69,315,436
-1249,960,1271,12,252,436
-1372,940,1108,39,249,436
-1822,892,1067,15,273,436
-1961,751,1017,-132,217,436
-1961,365,538,-219,185,436
-1961,-297,797,-160,220,436
-1961,-396,1412,-45,55,436
-1623,-1148,1453,-335,75,436
-1378,-1533,1141,-68,-24,296
-943,-432,1072,265,-87,201
-806,-64,1035,283,-21,239
-755,48,1049,66,42,234
-768,-385,861,-67,119,220
-807,-252,991,-41,157,226
-770,-887,937,49,167,192
-764,-861,1182,173,199,100
-885,-388,1275,145,129,25
-352,18,1053,-11,182,38
-621,-78,1015,-157,293,120
-515,-505,966,-172,414,129
-880,-488,1247,-42,436,105
-1082,-268,1424,-62,414,2
-837,-72,1355,-102,351,-17
-737,-21,1140,-143,391,12
-1067,-168,1081,-181,428,0
-1216,-197,1132,-178,416,-41
-1394,-228,1026,-97,359,-3
-1404,-211,918,19,262,40
-1235,-89,835,75,163,0
-1099,190,785,16,101,-34
-941,180,615,-64,43,-28
-924,308,558,-26,4,17
-849,262,339,35,-22,95
-748,165,150,3,23,112
-913,24,158,-27,68,95
-952,-3,195,-10,54,53
-898,-6,181,16,42,54
-948,-56,167,56,18,52
-948,-46,142,107,-7,35
-969,62,107,148,-10,23
-1028,146,106,149,-17,16
-912,181,87,132,-27,10
-797,178,101,122,-20,9
-814,194,110,111,-11,7
-853,255,119,140,-30,20
-884,279,123,131,-32,30
-873,341,70,65,-30,14
-845,319,57,-39,9,-19
