xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1715,-579,-1961,253,76,-436
-1919,-767,-1961,239,286,-436
-1938,-627,-1961,436,355,-436
-1919,-379,-1919,436,353,-436
-1660,-145,-1520,436,274,-436
-1400,-67,-1054,436,238,-436
-1075,-46,-711,348,195,-436
-806,-104,-528,163,237,-436
-699,-154,-286,28,275,-436
-625,-200,-133,21,295,-436
-446,-200,-99,332,330,-436
-449,-63,-260,436,408,-335
-577,64,-367,436,383,-347
-689,492,-530,436,297,-322
-1060,1101,-36,436,36,-360
-767,1280,-125,416,-118,-358
-342,1032,-254,32,84,-436
-701,954,-118,-39,305,-436
-1194,1011,249,-88,378,-436
-1366,955,311,24,301,-418
-1259,1209,7,156,259,-363
-1316,1844,-15,119,402,-251
-1795,1961,398,-83,373,-164
-1552,1961,635,-221,100,0
-1096,1877,393,-363,49,90
-1142,1182,343,-420,3,112
-975,798,520,-436,-83,59
-665,428,400,-436,-192,27
-465,183,594,-436,-213,-27
-341,-184,576,-436,-276,-211
-131,22,187,-305,-367,-164
14,-193,272,-300,-436,-116
460,-638,-40,-350,-436,-322
690,-649,233,-248,-35,-278
132,-966,326,-87,223,-321
-283,-730,817,200,252,-320
-397,-390,752,419,300,-329
-826,0,642,436,436,-272
-1937,798,1198,312,106,-139
-1202,1045,1460,-95,-121,-205
-435,480,1089,-181,-53,-113
-513,427,1114,-103,21,43
-517,-240,1425,-55,-23,66
-531,122,1301,206,-120,144
-254,358,1191,19,-110,86
-529,485,1302,-93,-4,53
-693,562,1180,-58,-131,96
-429,985,1116,182,-133,206
-575,1494,875,335,-5,421
-597,1716,598,170,58,436
-859,1674,694,-236,303,436
-1390,1361,705,-436,276,436
-1446,851,523,-436,168,436
-1824,764,891,-436,151,436
-1845,-287,832,-436,85,436
-1961,-352,222,-375,-81,436
-1961,-818,441,-436,-307,436
-1294,-1374,-377,-436,-436,244
-47,-1455,-121,-298,-300,242
-200,-1005,293,-278,116,189
-667,-1260,456,-254,-26,63
-107,-1029,258,143,-200,53
146,-421,174,312,-135,106
151,-242,234,147,-10,102
40,-140,201,-63,139,18
-43,-2,141,-318,226,-80
-201,-12,77,-436,290,-20
-412,-143,49,-436,245,-45
-540,-244,-275,-436,67,-9
-583,-431,-342,-436,14,121
-604,-430,-404,-295,3,208
-770,-393,-439,-257,88,394
-1218,-635,-283,-232,111,427
-1509,-621,-369,-230,43,393
-1835,-569,-458,-204,-32,413
-1961,-739,-395,-290,-100,436
-1961,-998,-539,-316,-217,424
-1900,-1310,-513,-297,-143,422
-1677,-1237,-479,-219,-115,296
-1264,-1297,-441,-182,-78,183
-1030,-1073,-315,0,43,99
-1054,-628,-127,80,136,4
-1017,-368,-99,32,150,-81
-962,-173,-44,12,118,-130
-949,-33,-15,-78,52,-124
-921,-98,-48,-178,-27,-112
