xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1548,-159,954,240,120,20
-831,-119,563,32,-229,16
25,-213,-162,-64,-296,-8
678,-161,-998,-61,-119,9
631,-413,-1526,71,33,155
802,-380,-1961,161,137,71
598,-172,-1961,-4,358,-64
-16,-274,-1961,19,436,-48
-533,10,-1961,70,436,-56
-1434,59,-1961,-118,436,-27
-1961,-508,-1682,-332,436,3
-1961,-1101,-1236,129,436,139
-1961,-519,-141,422,360,98
-1961,477,388,83,-354,-44
-1707,182,-311,-205,-436,-8
-1059,-33,-767,-232,-436,49
-542,-221,-1479,-287,-436,94
413,-713,-1961,-248,-436,85
1961,-706,-1961,-8,-436,-119
1961,-206,-1961,-75,167,12
730,-613,-1961,124,436,-60
34,-8,-1642,135,436,-52
-735,-130,-1524,12,436,17
-1497,-233,-1629,-45,436,-12
-1961,-530,-1635,35,436,118
-1961,-591,-952,385,436,118
-1961,494,307,336,51,24
-1961,414,-77,-151,-436,-21
-1701,260,-630,-199,-436,66
-1062,91,-1105,-296,-436,217
-345,-571,-1961,-436,-436,170
1267,-1095,-1961,-216,-436,-52
1961,-277,-1961,-64,-154,-52
1774,-868,-1961,115,156,-73
1163,41,-1961,-6,436,-126
-173,-413,-1961,84,436,-60
-997,-3,-1700,132,436,-70
-1837,-178,-1506,-65,436,14
-1961,-913,-1125,-99,436,34
-1961,-812,-732,314,318,18
-1961,-49,-5,374,-12,-23
-1877,482,88,18,-404,-28
-1138,238,-450,-158,-436,22
-690,149,-1077,-267,-436,109
-634,-484,-1482,-171,-436,147
-522,-118,-1245,178,-436,189
-792,17,-1517,89,-436,292
-566,-92,-1484,-89,-436,257
-465,-171,-1187,-180,-428,213
-497,-181,-846,-251,-286,161
-494,-160,-557,-291,-203,104
-448,-85,-424,-317,-130,52
-461,-50,-355,-423,-6,41
-622,-265,-213,-436,117,52
-908,-638,-165,-274,132,130
-870,-588,95,2,175,125
-1062,-463,307,63,182,95
-1009,-437,338,117,84,111
-882,-419,252,213,103,83
-1030,-256,306,312,143,82
-1147,-115,393,371,102,76
-1153,74,407,337,55,39
-1100,279,354,230,2,-17
-1262,413,465,143,-60,-9
-975,302,167,116,-105,7
-734,334,36,23,-16,-8
-834,233,57,-91,-6,-20
-819,30,-70,-114,-11,-28
-875,-19,-65,-5,6,-14
-896,144,-11,20,-17,-5
-824,82,-76,-14,-23,1
-839,54,-61,8,-13,2
-868,96,-29,-6,-4,-7
-860,82,-28,-42,0,-13
-889,13,-9,-44,7,-12
-891,9,16,-14,1,-11
-898,72,27,-7,1,-3
-886,18,23,-18,-5,2
-891,-7,26,-3,0,0
-894,54,30,-1,-4,-2
-883,43,15,-14,-3,0
-893,33,12,-14,2,-3
-893,20,11,-10,-2,-2
-874,42,8,0,0,-1
-890,73,28,-9,2,-1
-890,36,31,-23,2,-1
