xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-876,35,452,-5,10,-10
-1023,3,490,-24,4,2
-922,-100,570,-9,6,-17
-820,83,789,13,28,-95
-927,663,1162,31,37,-75
-1008,958,1328,-25,-52,68
-1041,786,1233,-105,-115,133
-1083,573,1299,-73,-118,164
-1245,574,1394,15,-147,237
-1406,417,1260,8,-245,274
-1482,151,995,17,-302,290
-1404,-48,658,-26,-318,259
-1166,-423,325,-92,-275,194
-907,-1095,-131,-7,-238,69
-268,-811,-296,157,-91,-45
-301,-477,-262,34,88,-90
-222,-557,-468,-254,272,-178
-303,-747,-849,-436,436,-273
-463,-643,-1070,-436,436,-305
-912,-549,-895,-349,436,-320
-1140,88,-711,-371,436,-321
-1414,101,-647,-422,436,-240
-1939,-177,-242,-292,436,-137
-1531,123,-468,-296,398,-84
-1670,-454,-211,-248,346,10
-1819,-396,16,-146,190,38
-1961,-1156,121,-105,175,94
-1961,-1187,905,29,48,14
-1961,-844,565,-99,-51,-128
-1961,-553,400,4,-156,-100
-1549,-208,-229,94,-290,-29
-1329,-238,-831,185,-339,55
-1112,-161,-1040,235,-301,121
-923,-94,-1113,217,-281,145
-722,-79,-1195,216,-247,183
-602,-170,-974,166,-192,194
-378,-333,-953,95,-168,150
-179,-447,-845,52,-106,93
8,-385,-922,-24,-59,7
305,-307,-1051,-36,23,-15
410,-403,-1216,-84,106,-54
260,-373,-1227,-67,210,-47
-113,-531,-1093,-103,268,-72
-444,-544,-1100,-83,286,-69
-1179,-919,-732,-105,323,-82
-1583,-782,-505,-117,245,-149
-1884,-557,-25,-115,236,-123
-1961,-340,494,-79,144,-144
-1961,-28,625,-108,113,-140
-1961,-25,993,105,48,0
-1834,246,1170,198,-21,87
-1944,265,1330,50,-93,59
-1853,59,728,-34,-242,52
-1839,-73,184,32,-314,115
-1715,-187,-311,13,-337,125
-1558,-362,-701,46,-319,141
-1367,-452,-910,100,-304,162
-927,-287,-909,73,-249,146
-728,-574,-873,68,-220,152
-303,-669,-997,69,-190,122
247,-719,-1158,-5,-103,57
627,-928,-1395,65,-23,36
730,-642,-1477,50,111,-18
324,-695,-1487,16,212,-59
-91,-481,-1640,100,276,-76
-622,-207,-1558,-3,384,-116
-1334,-66,-1294,6,407,-80
-1858,137,-803,65,400,-13
-1961,-90,42,70,354,-7
-1961,-280,353,35,211,-101
-1961,219,578,17,173,-170
-1961,527,1042,26,70,-114
-1961,306,781,102,-123,-6
-1635,386,437,122,-226,63
-1652,282,264,0,-314,92
-1628,111,36,-49,-436,118
-1716,17,-159,-66,-436,123
-1554,-17,-524,-77,-436,112
-1112,-325,-852,-31,-436,80
-643,-95,-680,22,-436,34
-719,287,-342,-56,-303,67
-697,103,-379,-184,-212,120
-584,-325,-421,-192,-83,128
-604,-383,-281,-138,12,87
-599,-333,-202,-76,69,52
-679,-203,-73,-24,116,46
