xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-986,80,271,-52,-11,-24
-1083,-12,393,-31,15,-41
-1086,299,628,37,40,-105
-1317,1272,1105,-30,6,-83
-1337,1961,1203,-415,-110,-1
-1757,1017,765,-436,-217,-87
-1805,497,470,-436,-374,-132
-1587,53,415,-359,-436,15
-1564,-348,278,-263,-436,38
-1302,-491,11,-260,-436,45
-446,-887,-440,-266,-410,36
-190,-934,-292,-177,-179,87
-229,-950,-319,-178,-72,59
43,-1110,-685,-118,38,2
20,-998,-755,15,224,-8
-370,-839,-627,130,287,-89
-352,-529,-807,170,314,-152
-601,-266,-909,180,406,-168
-687,-121,-926,150,436,-229
-817,268,-1041,69,436,-190
-1694,-124,-1179,24,436,-145
-1961,349,336,247,436,58
-1961,939,1961,141,436,94
-1961,979,1961,-259,-153,-166
-1961,437,1456,-202,-377,29
-1961,-495,-549,-265,-436,66
-680,-1548,-1961,-190,-436,113
1174,-1938,-1961,19,-366,92
1535,-1647,-1961,55,36,-20
523,-1139,-1961,150,307,-75
-492,-140,-1373,143,436,-89
-1866,473,108,86,436,-2
-1961,498,1878,145,415,123
-1961,625,1961,-52,22,35
-1961,134,1534,-155,-208,-13
-1961,-198,705,-198,-342,-37
-1229,-452,-408,-134,-416,4
-351,-636,-1426,-143,-375,16
756,-1081,-1961,-111,-225,2
981,-705,-1961,29,32,63
530,-616,-1961,50,259,98
-234,-680,-1555,130,379,84
-877,-472,-1279,175,436,33
-1902,-97,-13,136,436,28
-1961,-421,815,93,270,16
-1961,-119,655,186,-32,-8
-1842,119,605,181,-133,31
-1676,35,567,200,-277,101
-1206,60,241,217,-424,174
-669,-53,-104,155,-375,258
-715,-174,-137,67,-295,268
-637,-277,-167,-21,-241,203
-552,-408,-90,25,-125,162
-640,-223,143,111,-34,148
-823,64,398,82,-9,114
-905,135,410,44,-19,101
-867,90,383,60,10,100
-866,170,472,57,43,82
-899,218,569,30,18,75
-753,229,521,-22,-3,54
-643,343,460,-102,18,24
-661,368,364,-185,89,69
-888,123,351,-221,155,89
-999,-115,401,-143,156,88
-1073,-178,566,-24,127,67
-1050,-73,594,27,72,4
-1007,1,516,42,21,-38
-921,74,444,50,1,-73
-963,154,427,52,-12,-76
-976,188,350,65,-36,-59
-948,44,310,113,-46,-37
-924,57,290,230,-69,-8
-866,248,312,230,-80,-16
-821,332,291,101,-39,-34
-853,279,299,-18,8,-41
-860,216,279,-68,39,-31
-862,165,273,-52,51,-14
-873,146,265,-21,46,2
-907,133,246,3,31,11
-922,158,245,0,24,9
-950,185,271,-32,23,2
-928,158,285,-83,24,-9
-932,90,293,-111,28,-12
-931,9,254,-91,22,-10
-929,-12,251,-31,17,0
-933,33,265,4,8,3
