xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-839,-44,160,-160,55,40
-670,-245,244,-96,104,51
-746,-250,366,34,145,49
-964,-41,462,102,117,48
-1118,147,433,79,30,65
-1025,125,229,8,-49,72
-896,84,124,-24,-32,72
-820,6,118,-60,27,61
-884,-50,226,-90,50,42
-854,-131,237,-76,38,34
-875,-66,253,-31,28,40
-840,-45,207,-6,22,61
-871,-31,226,23,39,83
-896,-58,264,34,45,96
-921,-114,298,48,49,97
-984,-151,318,59,45,85
-1069,-183,310,74,19,61
-1107,-148,263,93,-14,33
-1076,-114,185,86,-37,3
-1123,-65,104,81,-36,-24
-1223,-8,61,75,-35,-36
-1067,-14,92,79,-62,-27
-858,-53,162,54,-42,-30
-851,-154,203,7,-51,-48
-851,-314,50,50,-83,-60
-912,-223,-123,159,-80,-68
-1058,46,-40,224,-97,-55
-1024,56,-58,119,-91,-43
-1057,-63,-3,136,-83,-32
-967,-96,-3,127,-89,-44
-913,-61,10,118,-87,-66
-882,-3,4,83,-75,-87
-879,-12,-2,58,-65,-94
-851,2,-5,70,-55,-88
-821,39,10,84,-42,-66
-769,77,36,90,-26,-41
-787,108,86,69,0,-19
-832,102,116,38,9,0
-883,76,129,18,18,16
-909,47,136,-2,18,30
-949,57,94,-15,40,31
-1111,126,51,-43,66,40
-1109,47,125,-85,52,59
-721,-183,167,-71,64,59
-618,-251,274,-2,133,41
-814,-173,409,61,147,28
-1008,-10,415,120,106,47
-1167,94,381,110,40,79
-1081,30,241,88,-6,90
-947,-56,200,69,11,81
-886,-144,246,77,57,58
-961,-162,370,99,60,38
-965,-123,374,120,20,16
-961,-13,312,114,-16,6
-937,12,217,101,-26,7
-902,5,167,98,-19,17
-865,-38,171,100,0,21
-924,2,228,88,9,13
-959,-73,176,73,-20,20
-984,-122,16,125,-31,27
-1178,-13,-43,162,-25,34
-1059,-42,-68,152,-64,31
-825,-149,-65,144,-24,6
-827,-243,-9,190,0,-25
-922,-40,14,271,-25,-28
-942,161,-20,231,-81,-12
-932,100,-141,148,-96,-3
-944,104,-265,94,-139,-9
-710,-39,-427,-4,-104,-12
-590,-309,-368,75,22,-2
-707,-302,-266,305,140,15
-976,30,-17,397,164,17
-1064,202,149,303,109,34
-1124,58,191,228,52,51
-1154,34,171,182,-53,38
-937,-5,-15,115,-111,13
-879,-59,-72,83,-80,-9
-857,-102,-87,91,-42,-28
-944,-22,16,103,-19,-39
-942,-8,53,79,-30,-44
-941,-5,63,76,-37,-45
-922,40,54,70,-42,-42
-949,87,36,50,-39,-31
-904,54,12,35,-37,-11
-821,0,32,37,-18,6
-778,-57,82,44,1,11
