xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-963,1873,-971,284,-436,219
1444,-770,-1697,-365,-361,205
-25,-652,738,93,432,144
-1761,199,1961,1,223,-37
-592,40,1737,33,-137,-84
-195,245,920,0,-51,-47
-181,92,930,-39,39,35
5,-5,943,-13,10,40
71,23,757,-35,-37,26
139,-3,528,-27,-49,52
70,-7,524,-62,17,79
-285,-73,964,-38,116,61
-927,114,1748,44,157,0
-822,261,1645,41,83,-2
-577,182,1258,-33,18,32
-255,-90,857,-73,-2,30
-144,-217,681,-43,43,-33
-205,-151,718,30,66,-88
20,-12,520,40,128,-110
-102,169,297,-8,301,-90
-456,96,553,-33,401,-3
-594,228,464,-36,436,31
-1097,447,303,-148,436,45
-1801,380,341,-249,436,85
-1961,130,516,-252,436,119
-1961,-38,709,-211,282,56
-1477,-458,547,-90,-54,28
-873,-579,22,-66,-172,2
-1518,-477,168,-264,-204,-141
-1874,-1133,204,-310,-185,-436
-1961,-1754,530,178,-245,-436
-1961,-666,442,436,-436,-436
-869,-356,560,205,-436,-436
-642,-620,905,65,-332,-436
-600,6,1051,100,-389,-436
-44,410,703,14,-436,-436
442,230,471,-86,-436,-436
647,-14,341,-69,-436,-436
579,171,75,-66,-436,-436
764,146,-417,-35,-386,-436
1040,329,-492,48,-187,-370
985,262,-277,132,13,-196
680,248,261,240,132,-133
471,531,736,269,233,-105
322,520,1389,313,331,65
239,194,1961,299,301,131
748,-263,1937,199,99,239
397,-742,1100,0,-65,250
306,-254,-5,103,-19,-186
939,822,484,124,158,-123
211,453,1244,-24,113,70
682,209,727,16,-23,62
779,213,563,-76,84,56
427,60,1267,-133,74,54
702,185,1254,-185,0,23
357,45,1480,-233,-42,37
361,34,1368,-164,-56,87
457,-212,1023,-148,2,66
312,-151,995,-100,41,40
629,-132,783,-71,36,31
814,-1,372,-58,103,70
701,-13,148,-59,218,135
476,-146,351,-11,244,215
757,-210,245,46,280,287
589,-305,281,63,402,297
287,-519,413,103,436,289
118,-411,849,185,436,289
-254,82,1100,21,436,251
-113,-323,715,-99,436,331
-1108,-556,1485,-128,436,392
-1423,-207,1482,-365,436,238
-1233,-372,850,-436,328,267
-1633,-628,890,-239,249,436
-1809,-578,864,-94,234,436
-1724,-795,882,50,283,431
-1804,-569,914,143,163,321
-1450,-641,696,122,7,157
-1183,-413,627,108,-97,-78
-1067,51,600,49,-147,-256
-919,291,495,-6,-158,-255
-878,260,432,-34,-133,-142
-835,88,390,-34,-92,-77
-808,3,385,-15,-46,-79
-806,59,425,3,-10,-80
-847,98,482,7,-1,-53
-876,73,493,0,-12,-35
