xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1961,-99,1289,-3,-436,-154
-1678,-36,935,114,-436,-100
-560,152,-125,399,-436,-88
533,496,-947,336,-436,48
853,274,-380,253,-176,247
-673,531,1961,256,436,187
-1567,767,1961,165,98,297
-436,146,467,-412,-142,210
263,-247,-517,-436,-69,38
-112,-766,975,-282,-87,85
-569,-387,991,231,-51,52
-316,-131,980,306,-21,11
-469,178,1393,353,66,-18
-357,518,1232,285,1,-26
-90,730,948,71,25,-20
-297,438,1113,-130,34,-19
-118,226,994,-60,15,-17
-205,370,1038,9,56,-1
-306,307,1110,-58,80,-31
-118,304,964,-80,98,-46
2,371,851,-323,258,-61
-247,-279,1043,-436,368,-59
-772,-1180,454,-355,436,-129
-1961,-980,1092,55,325,-323
-1135,-457,805,-56,53,-309
-1079,-949,571,-248,227,-372
-1563,-1346,712,-237,237,-350
-1499,-1530,523,-369,65,-391
-1107,-1961,71,-342,142,-436
-1090,-1961,88,64,210,-436
-1239,-1285,394,357,182,-436
-1104,-626,956,405,-90,-436
-705,-246,992,242,-382,-436
145,-48,542,60,-432,-436
444,-87,553,5,-266,-436
640,-185,396,-5,-326,-421
589,-216,80,18,-328,-375
597,-195,98,209,-280,-289
882,22,-8,281,-223,-161
619,-85,347,122,-12,-88
387,-173,547,88,-29,-170
391,-61,272,278,-114,-130
812,71,-266,436,74,-18
603,225,405,436,436,-73
38,670,1518,409,159,4
984,570,1211,-56,34,85
1116,-62,902,-436,100,98
676,-570,956,-436,26,9
705,-708,419,-144,-91,-87
923,-351,299,419,-125,-113
1038,161,205,436,-38,-71
949,769,788,307,16,-18
973,515,658,-298,7,32
967,-48,586,-436,38,47
896,-316,607,-387,57,41
685,-370,931,-158,17,36
821,-228,873,-61,-40,41
1021,-273,632,-68,39,20
508,-198,803,57,187,-26
281,286,1003,114,125,14
509,218,819,-195,44,-2
624,-159,693,-202,100,16
709,-169,600,-49,94,65
740,-7,433,-35,169,55
652,65,321,-52,227,101
555,145,215,-100,273,170
340,64,294,-171,299,262
150,-84,386,-191,268,372
135,-267,346,-62,248,436
128,-113,533,57,347,436
-397,-7,792,-62,436,436
-1084,-169,750,-345,436,436
-1960,-865,479,-436,436,436
-1788,-1201,224,-436,55,408
-1384,-1397,-174,-392,-18,436
-1157,-1227,-19,-17,146,436
-1386,-852,100,19,273,368
-1646,-867,120,232,155,316
-1312,-404,63,415,108,288
-1293,-84,70,361,141,233
-1359,182,168,82,135,165
-1283,54,55,-378,80,66
-1170,-443,-90,-436,17,0
-987,-532,-70,-126,-2,-41
-1038,-240,56,115,19,-33
-1014,-48,96,149,-32,-29
