xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1634,379,453,-39,-436,202
-1211,461,258,-15,-436,215
-1023,559,637,-62,-436,232
-245,137,419,-159,-436,175
-119,8,195,-104,-205,108
-116,180,559,-11,-29,122
-166,195,792,-26,-14,106
-176,102,674,-78,20,85
-292,35,721,-40,71,39
-469,272,922,4,67,14
-319,215,756,-28,128,-17
-669,269,632,-29,266,-104
-803,88,1158,20,120,-133
-466,132,925,123,4,-131
-285,152,594,84,85,-165
-819,326,729,-3,234,-204
-712,183,919,-14,233,-191
-586,56,531,-25,325,-230
-1517,118,667,-60,389,-293
-1249,63,510,-48,436,-306
-1372,144,301,-61,436,-192
-1961,-617,1097,168,395,41
-1961,-639,1961,228,-335,-70
-1961,-776,1323,121,-436,-271
-1862,-459,1315,-177,-436,-375
-1815,-1206,1533,-254,-436,-433
-1100,-950,1219,-126,-436,-436
-914,-466,1080,-40,-436,-436
-941,85,957,-53,-436,-436
-622,99,407,-103,-436,-436
-172,19,-301,-20,-436,-403
625,205,-557,34,-436,-242
726,107,-397,-60,-357,-155
487,-3,-413,-55,-249,-92
418,3,-328,-17,-183,-101
543,-64,-356,117,-33,-89
435,137,-365,278,215,-34
-148,246,134,345,436,32
-607,164,820,407,436,-12
-378,881,1961,436,436,-144
664,497,1961,-190,125,314
540,-1123,838,-245,-236,46
1397,-348,142,145,59,-154
367,609,1869,37,171,-112
927,206,1470,-20,-99,27
1014,-8,847,-63,-24,49
651,-136,1112,-17,3,-3
708,-22,1112,29,-59,-32
680,70,766,-7,-72,-7
761,-165,652,13,-10,0
772,-33,963,41,46,-12
616,-46,1240,-7,4,16
809,-85,1025,26,-44,-29
975,320,864,28,31,-4
833,323,682,-52,229,122
-107,96,1212,-169,321,108
-397,-203,1141,-201,183,-45
-257,-68,562,-200,122,-133
10,-141,341,-190,141,-177
17,-138,416,-69,163,-154
311,-45,402,9,149,-105
642,121,455,-11,271,-78
385,322,373,-23,432,41
433,223,604,-39,436,135
-466,90,796,-48,436,202
-1320,172,559,0,436,354
-1660,-137,1076,-31,436,323
-1846,-189,1005,-81,436,197
-1909,-310,812,-84,381,99
-1531,-9,479,-75,314,39
-1661,121,192,-121,414,49
-1747,16,219,-121,436,135
-1836,-158,382,-76,436,186
-1803,-341,659,-11,404,153
-1561,-212,879,-67,146,27
-1329,-154,574,-137,-109,-102
-1141,-14,166,-132,-250,-137
-785,134,-41,-122,-228,-90
-694,20,-95,-112,-100,-44
-827,-87,-13,-61,-18,-22
-951,-135,76,3,-6,-26
-1008,-110,100,67,-43,-29
-941,13,41,111,-74,-37
-863,184,21,107,-63,-46
-822,351,18,55,-50,-36
-818,270,-18,9,-11,-5
