xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1630,96,398,70,-436,85
-1472,253,524,44,-436,97
-776,-3,308,19,-436,98
-178,0,92,-57,-436,44
80,-146,-93,-198,-436,-24
187,-223,-73,-123,-315,-154
566,-90,374,48,69,-142
-569,-10,988,185,136,-54
-1031,287,1609,189,-63,8
-269,262,1168,102,-114,55
-230,174,1074,-60,21,49
-307,-17,1151,-153,34,18
-230,-191,1086,-118,14,3
-300,-296,1213,-132,29,-44
-415,-380,1366,-218,34,-76
-629,-605,1463,-402,16,-167
-654,-871,1248,-436,24,-313
-575,-1476,949,-436,59,-436
-385,-1961,600,-436,98,-436
-291,-1880,848,-203,110,-436
-225,-1625,1110,-256,73,-436
4,-1336,905,-239,1,-436
255,-942,723,-157,-38,-436
381,-611,516,21,-80,-436
485,-328,862,240,-161,-436
690,65,593,240,-214,-323
950,76,396,38,-170,-264
741,107,167,-67,-118,-261
983,100,33,-39,-68,-163
641,-290,332,179,-112,-76
874,-96,-470,436,20,-112
507,96,-37,436,217,-134
287,228,128,436,351,-229
-428,720,1113,436,256,-299
-288,1121,703,436,11,-261
1396,1702,852,436,-47,-42
441,1474,1106,-125,137,106
-148,481,300,-436,84,69
350,292,145,-436,-232,39
1961,-546,-885,-436,-234,95
572,-228,454,188,174,-10
543,234,612,436,85,31
720,542,111,302,64,-86
612,544,286,-15,194,-70
555,297,-61,-205,356,-79
254,135,183,-314,436,-119
172,59,272,-285,436,-90
-34,43,264,-233,436,-96
-549,-13,1057,-110,436,-46
-396,98,808,41,358,-56
-516,420,1003,91,269,-16
-597,376,1018,-73,289,17
-433,233,1082,-39,256,-54
-421,206,1029,-82,436,-91
-745,154,888,5,436,-117
-1234,165,283,5,436,-225
-1961,458,438,-209,436,-99
-1961,426,1104,-158,308,2
-1391,154,952,-331,130,28
-1113,40,551,-436,278,-42
-1336,-360,288,-434,326,-26
-1344,-369,305,-102,262,-3
-1210,59,388,59,332,36
-1299,172,427,-163,340,-34
-1323,44,287,-436,312,-122
-1293,-236,43,-436,209,-166
-1129,-347,-215,-436,92,-177
-964,-629,-434,-436,-22,-175
-771,-559,-244,-299,22,-162
-1015,-573,115,-24,149,-53
-1006,-349,-62,167,173,-72
-967,-1,-127,227,62,-106
-834,126,-126,42,-29,-74
-783,53,-176,-159,-17,-50
-798,-171,-244,-133,-20,-31
-743,-130,-203,12,5,-33
-864,-14,-160,69,10,-14
-838,28,-167,39,-17,-2
-803,32,-174,-13,-10,-4
-800,-13,-177,-63,-2,-3
-812,-85,-172,-55,0,-6
-814,-84,-173,-9,0,1
-837,-50,-154,-2,-3,7
-835,-75,-167,-12,-3,0
-842,-67,-161,-13,0,0
-851,-87,-141,-11,-3,1
