xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1896,-1297,655,-146,-309,-436
-1654,-843,579,12,-314,-436
-1319,-655,513,-67,-281,-436
-1189,-990,483,-16,-250,-436
-1001,-315,492,50,-246,-436
-685,-476,436,-55,-211,-436
-731,-354,491,-19,-207,-436
-512,-194,461,-73,-206,-436
-461,-329,465,-97,-194,-436
-420,109,513,-41,-216,-436
-96,342,297,-91,-201,-428
-9,1180,-82,40,-212,-377
695,1961,-1043,62,-218,-165
1150,1961,-1503,-31,4,10
953,1486,-1222,-40,203,167
559,723,-545,-77,307,238
642,-466,-473,-117,304,233
621,-625,-228,-32,385,147
392,-966,185,-73,409,53
434,-707,353,7,428,-25
231,-414,554,-106,436,-74
-112,-752,769,-49,436,-129
-164,-223,863,-35,436,-160
-385,-518,934,-83,436,-185
-572,-220,1083,23,436,-206
-550,67,1405,-134,436,-199
-865,-229,1961,-36,420,-201
-520,887,1961,-63,260,-141
-464,706,1961,-105,170,-60
-496,1174,1961,11,66,38
-453,1402,1961,-83,-48,152
-411,799,1915,-59,-121,240
-266,865,1577,55,-107,299
-416,836,1460,16,-122,368
-254,309,1118,39,-117,397
-271,473,1095,67,-43,414
-558,217,1278,-10,-54,432
-320,-117,1061,28,-85,408
-184,240,1055,71,21,414
-562,27,1378,-29,27,417
-409,37,1222,29,-21,408
-383,356,1001,-8,34,436
-655,221,819,-50,76,436
-734,-280,790,0,121,436
-657,-543,1124,122,159,423
-544,-1207,1630,29,161,276
-412,-1827,1525,40,18,31
-210,-214,1166,228,-61,-117
224,686,938,96,-35,-17
22,86,1062,-83,25,-3
-68,-326,1097,-55,2,-38
-140,-154,1041,15,-27,-110
-104,209,969,-25,-19,-154
-121,189,812,-126,31,-173
-281,-6,755,-123,113,-177
-296,58,666,-89,172,-164
-384,117,637,-94,254,-140
-395,153,683,-123,338,-125
-487,158,738,-156,366,-116
-588,126,810,-198,324,-71
-613,60,814,-201,267,-7
-700,11,749,-236,218,73
-700,-249,645,-242,233,118
-984,-341,804,-134,319,117
-1189,-103,1002,-119,304,127
-1240,-22,953,-215,240,147
-1285,-83,806,-287,220,171
-1490,-246,842,-275,217,212
-1562,-332,824,-243,144,240
-1396,-433,705,-223,85,229
-1282,-510,622,-170,68,189
-1192,-554,586,-83,61,134
-1105,-473,560,-13,50,63
-1053,-320,520,20,36,-6
-1001,-109,531,17,19,-45
-983,429,822,-140,7,-15
-836,-150,518,-184,-52,13
-849,-218,461,-15,-33,-15
-880,-53,431,79,-17,-12
-939,-63,428,98,-14,-3
-995,-73,458,84,-24,0
-1018,-110,447,68,-50,-21
-1003,-79,405,63,-64,-52
-964,-21,379,59,-66,-69
-914,18,368,53,-58,-76
-882,77,358,37,-47,-76
