xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1311,-970,-1072,144,277,-436
-1191,-1073,-1080,165,300,-436
-1145,-953,-922,284,304,-436
-1032,-659,-639,368,255,-428
-818,-476,-382,335,202,-436
-607,-390,-186,254,159,-436
-399,-370,-117,161,118,-436
-231,-354,-120,115,113,-436
-134,-357,-90,98,127,-436
-116,-361,35,193,117,-425
-116,-218,122,432,63,-351
-102,-97,-23,436,-66,-272
28,64,-626,436,-280,-217
780,1647,-1349,436,-418,-29
901,1568,-806,-286,-210,171
1027,559,-829,-436,-71,-114
893,252,-548,-436,-19,46
888,-62,-275,-436,8,89
1113,-80,-434,-84,70,85
920,61,-381,-60,207,70
819,-100,-553,-306,339,70
598,-389,-132,-329,433,72
473,-689,-118,-201,436,49
233,-712,212,69,436,-37
148,-479,666,230,436,-97
-99,-332,1063,298,436,-171
-297,-170,916,356,436,-259
-440,408,1247,436,436,-324
-481,967,1243,370,436,-346
-697,1431,1243,322,386,-348
-743,1961,1408,234,202,-208
-610,1961,1212,32,93,-52
-411,1803,1077,-189,77,43
-368,1399,1021,-180,75,127
-311,1233,824,-63,52,207
-195,1281,563,-12,52,273
-97,1261,372,-33,139,299
-286,1263,380,-45,262,320
-562,1131,501,-91,289,362
-595,1002,471,-119,268,387
-708,862,529,-151,319,410
-872,769,568,-141,320,416
-984,689,619,-182,315,420
-1016,530,614,-370,308,375
-1108,126,904,-436,208,317
-932,-298,979,-436,107,325
-883,-496,1290,-40,96,343
-756,-182,1436,12,3,277
-481,-297,1238,-224,-50,168
-291,-460,1023,-332,-71,46
-93,-540,835,-243,-63,-30
-31,-395,786,-85,-8,-69
-92,-182,849,-12,18,-90
-70,4,862,-15,7,-82
-8,79,808,-120,23,-74
36,79,746,-193,76,-84
10,57,763,-265,145,-62
-158,-167,874,-316,176,-47
-275,-241,918,-275,162,-30
-305,-238,893,-293,146,2
-310,-349,786,-331,158,44
-412,-420,698,-314,201,83
-542,-414,619,-346,206,118
-564,-530,427,-433,190,151
-569,-665,197,-390,259,188
-856,-772,194,-250,279,230
-893,-543,149,-150,243,248
-1159,-500,126,-220,195,296
-1217,-544,25,-240,128,287
-1203,-501,-61,-219,108,287
-1169,-525,-185,-204,83,320
-1252,-583,-178,-55,107,369
-1432,-417,-49,74,168,384
-1607,-242,25,97,167,349
-1648,-98,49,-84,109,257
-1301,-302,-132,-329,54,106
-1106,-505,-238,-311,79,25
-1060,-467,-181,-179,106,2
-1063,-328,-64,-74,101,-27
-1082,-144,24,-44,102,-61
-1067,-86,-30,-107,54,-91
-949,-127,-130,-42,-10,-65
-876,-81,-194,152,-63,-16
-818,50,-218,290,-86,9
-783,188,-218,313,-90,12
-753,274,-201,217,-79,11
