xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1961,-990,166,-98,-436,-436
-1961,-535,-59,-24,-436,-436
-1824,-95,52,38,-434,-436
-1420,424,79,33,-436,-436
-731,684,48,-15,-429,-436
-173,613,-3,-63,-353,-436
351,910,-115,-90,-249,-436
622,905,-67,-112,-126,-328
555,618,-12,-107,-107,-210
786,454,-93,-78,-85,-146
852,340,-133,-44,-46,-80
958,343,-248,-33,-19,-30
1036,249,-361,-41,53,3
1043,156,-408,-53,119,13
950,158,-401,-35,186,29
853,117,-499,-51,217,58
843,6,-586,-37,350,58
580,-4,-549,-132,436,16
196,-191,-335,-203,436,34
-245,-704,-168,-226,436,-13
-372,-851,317,-165,436,-31
-963,-1114,1069,-36,436,-114
-914,-667,1353,81,436,-247
-779,249,1687,-126,436,-308
-1366,-250,1961,-80,436,-171
-1688,503,1961,142,236,-41
-916,653,1961,-142,-78,-70
-402,322,1388,-50,-133,18
-113,780,1106,50,-85,154
-139,1066,977,-30,-33,264
-269,868,868,25,62,419
-728,962,1241,54,89,436
-922,752,1102,50,-12,436
-1009,952,968,-9,100,436
-1550,452,1100,-105,60,436
-1580,599,1073,-149,-75,436
-1424,359,572,-434,-33,436
-1475,-200,551,-436,-65,436
-1040,-890,448,-310,-54,436
-721,-1961,1138,-199,83,338
-583,-1239,1230,111,-104,43
64,147,1012,103,-74,50
-33,-281,933,-78,30,58
-145,-539,1081,-22,45,-5
-134,-16,1176,67,37,-7
-15,182,1013,-64,66,-25
-231,-79,965,-62,116,-15
-225,-9,909,25,121,-5
-254,262,822,33,102,-18
-362,129,673,41,151,28
-496,-108,769,46,174,9
-590,15,750,17,186,-75
-603,-43,726,-66,150,-111
-500,-165,523,-21,166,-102
-547,209,789,-18,267,-113
-463,181,701,-139,285,-60
-686,-41,620,-160,325,10
-753,-36,689,-97,392,70
-999,306,706,-159,415,91
-1245,-17,472,-271,397,124
-1524,-177,438,-244,436,146
-1892,-97,522,-262,376,136
-1889,-284,434,-243,181,170
-1508,-435,293,-171,110,169
-1377,-545,310,-100,118,115
-1243,-417,400,-27,140,13
-1256,-151,502,5,105,-40
-1103,10,466,4,40,-42
-1038,70,411,-22,-1,-25
-988,-15,255,-32,-60,0
-875,-45,97,-7,-56,0
-897,14,102,8,-23,3
-891,-9,85,7,-25,5
-919,26,71,17,-19,-7
-905,113,64,-3,-27,-16
-865,93,34,-18,-28,-12
-855,53,26,-4,-10,-10
-901,55,77,20,-4,-8
-896,76,93,28,-13,-12
-891,132,88,20,-11,-14
-877,146,97,1,0,-8
-899,86,107,-3,3,0
-899,68,107,7,5,1
-900,111,127,6,5,0
-905,106,143,-8,4,5
-915,61,125,-11,-3,8
