xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1027,-992,-1265,89,436,-436
-829,-1420,-1204,-203,436,-436
-550,-1608,-1299,-71,436,-436
-573,-1428,-1141,-17,436,-436
-526,-1327,-927,2,436,-436
-335,-1130,-635,32,436,-436
-158,-973,-420,45,400,-436
-64,-707,-200,157,335,-436
-194,-311,12,173,272,-436
-189,-106,95,170,160,-371
-81,-110,164,348,47,-227
90,35,67,436,-6,-122
332,346,-324,436,11,-33
424,1462,-294,424,-187,51
387,735,-22,-204,-96,-33
671,548,-149,-380,-32,0
521,67,-87,-414,49,1
565,44,-22,-196,-8,-35
691,149,-200,75,-54,11
865,373,-275,18,5,20
932,297,-454,-111,110,-6
1072,377,-801,-239,245,-20
1135,311,-976,-378,368,40
763,-100,-693,-326,436,69
473,-127,-132,-115,436,-14
396,-40,94,38,409,-58
431,110,310,-43,436,-123
-102,147,813,-280,436,-163
-410,14,1001,-359,436,-121
-624,70,1514,-270,436,-104
-493,-185,1847,-139,436,-61
-918,121,1961,116,289,-30
-674,697,1961,139,-22,-36
-135,757,1703,82,-96,-2
-20,705,1295,130,-114,55
145,684,1030,127,-78,108
147,821,1031,137,-2,124
-51,962,1049,99,67,171
-176,1052,1046,187,56,242
-125,1281,815,201,120,313
-299,1263,813,69,203,385
-469,986,869,-7,218,436
-418,668,796,27,210,436
-255,774,726,259,269,436
-598,868,1054,77,414,436
-874,594,1276,-169,340,388
-737,561,1135,-163,196,436
-700,-51,1506,-436,283,436
-654,-419,1228,-431,286,379
-791,-673,1190,-436,-10,339
81,-1961,282,-436,-8,147
-73,-1563,712,278,-54,-46
67,-400,790,436,-122,-46
291,-196,612,436,-68,-28
169,631,1122,436,-58,15
434,480,-11,340,58,28
113,787,478,-72,136,-35
86,998,-180,-436,279,-31
52,359,-479,-436,389,-200
-194,127,-1254,-436,436,-38
-726,-562,-1312,-436,415,-10
-972,-278,-1033,-436,250,0
-1722,-1188,-552,-436,-127,96
-1196,-1045,-1024,-319,-82,436
-1578,-502,-843,-6,-25,391
-1718,-632,-819,-111,-93,408
-1708,-506,-1096,-383,-175,342
-1751,-1052,-998,-436,-271,275
-1607,-1755,-1229,-391,-232,253
-1022,-1415,-999,-29,-141,188
-1108,-1077,-618,-1,2,152
-1551,-1961,-716,-136,-1,-285
-579,-624,-606,436,-82,-78
-463,-178,-421,377,101,33
-765,-172,-181,361,189,87
-948,-91,-53,375,60,54
-785,30,-138,260,-33,25
-688,79,-240,79,-3,0
-792,60,-165,-131,45,-14
-935,-138,-43,-283,22,-27
-939,-273,-41,-289,-45,-52
-807,-342,-126,-195,-48,-46
-793,-361,-171,-54,-10,-19
-846,-244,-128,71,16,0
-868,-161,-115,84,-5,24
-830,-142,-128,32,-27,22
