xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-746,-366,-854,63,323,-107
-867,-222,-866,225,303,-112
-726,193,-993,148,222,-196
-559,372,-1047,-252,176,-217
-258,-15,-1670,-436,378,-191
-657,-311,-1367,-118,436,-2
-767,132,-1161,427,397,134
-625,288,-1219,353,315,91
-370,375,-1153,32,428,-25
-548,140,-844,-211,436,-25
-667,-44,-607,-251,436,-19
-804,-81,238,-172,403,33
-1052,-219,1031,-184,184,30
-389,-167,406,-404,-115,-177
136,-354,198,-266,-351,-22
99,-424,197,62,-141,-47
91,-17,-293,289,-147,24
-59,-125,-1564,436,-244,102
512,389,-1961,226,-436,33
896,403,-1961,-202,-134,4
647,-141,-1961,-406,350,20
-44,-236,-1203,-161,382,66
-58,-152,-476,-15,238,106
42,-74,-106,-134,167,74
-525,-198,1352,-436,-138,-44
-67,-950,201,-436,-10,-91
11,-689,-123,255,-204,-152
159,-82,-506,436,-182,-54
248,102,-1961,436,-183,33
-58,727,-1872,431,-174,90
647,546,-1961,-411,-175,-34
706,-151,-1961,-436,168,-35
175,-355,-1373,-164,260,55
129,-258,-981,144,213,109
203,0,-678,226,217,72
-289,35,952,49,352,56
-22,56,75,-277,239,23
-117,-294,-79,-273,47,21
-144,-275,94,-7,-155,-57
11,-216,-195,174,-242,-72
74,-6,-782,331,-221,-75
151,265,-1188,269,-164,21
-17,279,-618,1,-163,2
18,51,-808,-349,-140,-2
-139,-326,-776,-235,-133,-22
-214,-262,-526,67,-218,24
-344,-262,-562,297,-276,87
-406,-56,-809,378,-369,109
-407,37,-786,163,-357,124
-449,-107,-695,-95,-328,53
-515,-229,-785,-87,-296,6
-570,-178,-712,-3,-289,55
-647,-242,-668,74,-295,109
-741,-100,-679,190,-294,168
-724,4,-713,102,-272,209
-601,-15,-755,-172,-142,149
-902,-251,-434,-222,-39,149
-1206,-316,-393,-86,-148,101
-1060,-384,-452,144,-220,195
-1029,-88,-363,272,-199,227
-1043,-66,-351,272,-218,226
-896,16,-354,179,-189,189
-835,-34,-315,72,-95,121
-826,-87,-263,13,-8,46
-848,-92,-192,-13,74,-12
-937,-76,-110,-15,109,-47
-975,-57,-50,-1,100,-55
-968,-40,-20,35,66,-44
-947,-5,-14,69,28,-30
-891,23,-36,77,3,-32
-846,46,-70,76,1,-37
-830,75,-77,67,8,-42
-860,78,-19,63,12,-33
-999,132,158,175,-30,5
-905,176,86,261,-68,44
-777,359,-16,179,-31,29
-834,318,-29,-64,22,20
-879,116,-73,-210,39,0
-898,-36,-101,-176,26,-23
-869,-82,-113,-54,1,0
-861,-8,-99,24,-11,11
-821,51,-115,23,-15,10
-822,66,-117,-11,3,0
-845,42,-110,-45,15,-7
-867,0,-101,-44,16,-7
-871,-14,-85,-13,11,-3
