xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1343,-548,-1200,-436,436,-436
-1612,-591,-1043,-436,436,-436
-1576,-293,-386,-245,436,-240
-1265,-46,371,-57,436,-169
-1210,79,1153,30,436,-123
-795,430,1444,85,159,-14
-421,289,1033,29,-76,57
-336,49,664,-11,-176,94
-421,-116,337,-59,-261,94
-321,-242,-7,-78,-330,85
-474,-280,-441,-130,-381,96
-479,-543,-1155,-142,-364,119
-429,-879,-1863,-90,-247,73
-439,-706,-1961,34,-111,43
-305,-499,-1961,6,49,17
-252,-618,-1961,-15,259,8
-473,-625,-1662,40,390,1
-538,-465,-1027,26,436,-48
-430,-382,-401,33,436,-68
-522,-249,469,72,367,-58
-324,-84,905,97,154,-53
-409,267,1072,35,-77,-28
-378,203,522,-93,-315,-24
-118,-83,-131,-43,-358,41
-228,-143,-335,-54,-320,53
-451,-322,-563,-76,-351,58
-559,-483,-1210,-106,-374,27
-481,-486,-1785,-99,-284,21
-191,-710,-1961,-31,-80,15
-239,-491,-1954,68,137,31
-254,-474,-1719,56,295,54
-372,-475,-1262,0,372,24
-389,-497,-850,15,334,-16
-238,-241,-523,41,271,-43
-170,-70,-306,-9,244,-42
-182,-65,-126,-74,186,-38
-142,-181,-46,-63,93,-42
-32,-168,-65,-19,33,-45
23,-62,27,17,10,9
-96,-271,81,62,-44,71
-218,-362,-25,171,-127,97
-262,-382,-184,246,-181,104
-272,-466,-295,365,-198,179
-514,-219,-243,436,-213,293
-531,-328,-365,408,-226,382
-616,-452,-280,388,-119,436
-1037,-488,-122,299,-122,436
-917,-538,-215,247,-158,436
-910,-131,-239,12,-26,405
-1281,-368,-241,-321,33,276
-1285,-858,-359,-283,-18,276
-1339,-909,-222,-49,-101,263
-1188,-626,-224,95,-194,253
-1048,-501,-291,150,-207,261
-929,-403,-237,115,-112,224
-990,-419,-123,86,-37,189
-943,-380,-23,113,11,161
-959,-198,119,70,50,110
-1004,-120,161,-42,43,25
-1015,-75,145,-151,20,-47
-996,-52,33,-201,-9,-68
-856,-112,-34,-188,7,-54
-866,-164,4,-122,44,-32
-917,-173,56,-41,42,-18
-938,-145,89,39,31,-4
-940,-95,104,112,12,13
-950,60,173,137,11,22
-978,247,313,67,10,-4
-964,204,237,35,-26,3
-932,107,133,52,-49,27
-875,34,21,83,-61,40
-849,20,-1,92,-42,42
-863,33,13,67,-31,25
-851,31,1,40,-22,4
-862,73,25,23,-1,-4
-888,112,100,1,15,-10
-922,137,168,-15,17,-16
-937,138,180,-17,0,-9
-922,118,131,-11,-10,0
-888,74,80,-8,-5,9
-893,35,63,1,0,10
-903,29,77,8,-1,10
-896,24,90,7,-3,7
-899,43,94,4,-4,0
-893,75,104,-6,-1,-5
-907,90,117,-14,2,-8
