xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1687,-834,-158,-209,436,-285
-1638,-482,-80,-111,407,-312
-1428,-133,-33,-91,370,-283
-1212,-10,-9,-111,342,-221
-979,-71,30,-105,332,-173
-868,-88,106,-54,292,-142
-807,37,129,-2,209,-74
-519,-69,-162,-10,139,-43
-377,-182,-280,-1,189,-50
-355,-159,-155,2,233,-59
-443,6,524,91,153,-20
-257,20,329,-72,58,-24
-350,-184,274,-129,-64,8
-311,-181,45,-81,-199,41
-264,-190,-492,-101,-247,67
-368,-412,-866,-92,-205,86
-469,-538,-1080,-52,-189,80
-357,-611,-1348,-36,-148,76
-286,-799,-1458,-23,-61,47
-415,-803,-1365,11,6,18
-367,-820,-1295,26,65,-15
-397,-681,-1030,27,137,-52
-445,-570,-724,36,166,-68
-414,-410,-493,46,156,-74
-323,-273,-316,47,159,-71
-289,207,93,-1,157,-49
-388,-432,86,-107,57,-52
-350,83,148,73,-33,-11
-189,107,-109,-76,-58,17
-347,-229,-150,-130,-96,49
-293,-383,-448,-61,-152,54
-266,-314,-697,-20,-141,60
-362,-372,-848,-79,-120,62
-380,-633,-1040,-91,-112,42
-313,-657,-1261,-33,-72,25
-308,-690,-1349,-17,-15,15
-318,-727,-1299,3,49,-15
-337,-633,-1107,17,110,-41
-344,-532,-933,28,133,-54
-332,-408,-757,42,158,-61
-319,-290,-600,28,166,-60
-346,-212,-320,42,180,-41
-97,35,-229,136,113,-17
-249,-129,57,-92,126,-25
-376,-276,148,-17,40,0
-336,-136,107,1,-57,5
-353,-84,14,-34,-129,23
-429,-241,-56,-28,-176,42
-579,-139,-48,19,-211,59
-722,-62,-162,-30,-275,80
-816,-348,-232,23,-311,103
-1014,-185,-208,145,-353,136
-1134,-175,-346,162,-424,211
-1206,-368,-423,252,-419,290
-1280,-410,-378,306,-387,325
-1302,-478,-219,366,-338,343
-1305,-410,-75,436,-290,349
-1267,-275,22,436,-238,341
-1190,-182,152,387,-168,297
-1112,-77,230,285,-93,236
-1057,3,292,157,-15,177
-1056,28,350,32,52,130
-1066,-15,394,-48,91,102
-1067,-104,445,-77,101,83
-1059,-159,481,-64,85,66
-1027,-146,496,-52,57,48
-1002,-131,484,-64,28,25
-969,-114,451,-89,13,-8
-948,-95,423,-114,13,-41
-970,-114,420,-120,17,-70
-1012,-110,426,-101,12,-101
-1031,-80,424,-70,-5,-128
-1030,-33,403,-35,-22,-154
-971,59,373,0,-35,-185
-915,198,352,14,-28,-191
-892,254,360,12,-15,-150
-908,233,385,15,-12,-100
-918,180,392,20,-18,-73
-910,127,373,28,-26,-55
-903,85,372,37,-31,-49
-869,112,353,40,-26,-47
-850,148,363,34,-12,-35
-843,145,383,14,0,-16
-856,111,402,-4,5,0
-864,75,407,-18,5,9
-873,31,397,-20,6,23
