xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1358,-350,-1009,-213,436,-373
-1181,-292,-891,-300,436,-388
-1233,-305,-602,-268,436,-269
-1260,-272,-5,-187,436,-202
-1002,-181,411,-98,237,-125
-792,-124,834,124,39,0
-654,131,1039,267,-99,84
-699,-4,627,6,-129,38
-803,-43,96,-53,-219,77
-910,-35,-260,8,-421,119
-1079,-249,-700,-153,-436,209
-1025,-765,-1629,23,-436,162
-442,-673,-1961,84,-436,230
-267,-1012,-1853,-29,-380,203
-410,-791,-1790,3,-87,50
-425,-964,-1773,-96,69,-24
-333,-757,-1620,-104,238,-84
-554,-757,-1395,-1,371,-108
-662,-495,-1204,132,436,-117
-772,-397,-1070,177,436,-110
-687,-109,-803,133,436,-160
-741,-44,-562,-119,436,-155
-668,-98,-243,-310,436,-164
-755,-156,173,-379,318,-119
-1047,-409,980,-312,39,-79
-516,-276,693,-273,-55,-9
-655,-610,412,52,-202,-48
-606,-193,96,307,-290,-7
-836,-106,-247,306,-341,132
-1135,-275,-807,395,-436,236
-1026,-254,-1532,132,-436,274
-531,-650,-1961,-138,-436,221
-106,-893,-1961,-258,-336,103
-15,-980,-1961,-237,-25,-13
-43,-895,-1961,-119,178,-65
-266,-740,-1665,25,298,-87
-410,-499,-1452,159,363,-88
-532,-294,-1285,190,427,-93
-649,-145,-1057,51,436,-125
-735,-102,-814,-146,436,-139
-633,-186,-545,-276,436,-131
-552,-198,-299,-311,381,-73
-1182,-579,1204,-275,180,-52
-583,139,638,-159,22,36
-295,-694,-28,-12,-213,-3
-311,-54,104,41,-181,-48
-533,-297,-68,157,-251,-21
-733,-242,-398,241,-364,70
-913,-534,-989,405,-436,164
-533,-491,-1279,436,-436,302
-544,-344,-1098,436,-412,436
-758,-356,-592,342,-277,388
-1228,-354,-135,16,-253,221
-1214,-692,-280,-147,-288,209
-958,-606,-252,-119,-283,117
-877,-652,-228,-42,-178,119
-869,-548,-144,77,-112,136
-877,-397,-39,109,-60,137
-957,-313,13,74,-32,133
-963,-276,69,7,-32,94
-949,-264,111,-60,-21,63
-959,-347,106,-80,-40,33
-858,-329,98,-7,-25,28
-868,-250,128,67,24,38
-949,-146,211,110,42,37
-965,-78,216,57,26,28
-936,-34,218,-17,3,6
-879,-82,202,-66,11,4
-908,-131,211,-37,26,16
-961,-91,242,-2,28,12
-966,-47,231,-30,0,-3
-923,-58,213,-45,-22,-13
-871,-75,174,-9,-13,0
-856,-34,159,11,9,4
-910,-14,209,3,21,3
-929,-14,237,-22,11,2
-924,-44,220,-31,3,2
-913,-57,195,-17,2,5
-918,-35,195,-12,6,6
-913,-38,206,-29,3,2
-912,-70,200,-27,4,0
-909,-50,186,-16,6,0
-923,-41,192,-19,5,0
-918,-52,188,-21,3,0
-922,-53,189,-15,3,0
-897,-42,181,-14,0,-2
