xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1330,-1272,-1,220,-236,-436
-1443,-1209,-36,316,-178,-436
-1294,-599,-115,395,-174,-436
-1016,-321,-196,360,-160,-436
-762,-168,-121,279,-82,-436
-687,-97,-9,230,-12,-418
-630,-69,84,206,42,-370
-628,7,185,173,78,-364
-588,104,204,134,97,-351
-573,121,235,106,149,-328
-638,202,324,95,222,-308
-775,387,517,77,268,-272
-809,334,759,102,296,-247
-943,806,1138,135,298,-203
-823,926,1260,73,241,-140
-744,991,1388,95,327,-137
-1211,1961,1961,-81,123,108
-762,1126,1961,-212,43,8
-1278,1572,1961,-23,-77,164
-1383,1322,1961,-116,-308,221
-1471,748,1961,-88,-335,272
-1707,450,1961,-35,-421,297
-1556,183,1792,13,-436,313
-1368,-51,1726,29,-421,325
-1448,-447,1819,74,-429,308
-1190,-520,1600,132,-436,325
-974,-654,1341,87,-433,331
-814,-981,1184,175,-428,278
-543,-510,981,230,-428,277
-321,-243,726,97,-382,303
-266,-294,622,-34,-329,298
-260,-450,444,-49,-316,318
-133,-649,382,15,-272,274
-289,-492,396,52,-266,242
-212,-588,188,53,-300,244
-58,-627,125,41,-224,244
-278,-550,347,-35,-192,244
-290,-843,182,-44,-287,231
-294,-767,139,32,-293,206
-511,-572,55,-28,-382,199
-333,-772,-493,-34,-436,224
-276,-727,-676,-54,-384,232
-401,-1113,-789,-66,-404,254
-324,-1794,-1274,-18,-424,178
-133,-1801,-1928,32,-381,58
-163,-1649,-1961,93,-253,11
-2,-1618,-1961,26,-110,-34
-106,-1668,-1961,16,80,-108
-276,-1469,-1961,7,195,-169
-299,-1436,-1722,-33,290,-216
-402,-1212,-1311,-39,381,-259
-502,-1071,-892,-81,436,-266
-607,-1003,-533,-61,436,-279
-457,-827,-333,-9,436,-298
-388,-572,-151,-6,436,-290
-469,-657,46,-15,436,-271
-387,-649,86,29,436,-304
-438,-415,211,72,436,-331
-525,-214,321,70,436,-338
-505,-90,375,51,436,-314
-654,-164,504,20,436,-281
-806,-223,622,65,436,-269
-975,-174,682,84,436,-329
-1131,115,761,123,436,-356
-1175,295,739,71,436,-299
-1219,261,775,59,436,-273
-1370,418,912,-2,436,-258
-1498,327,982,-126,406,-212
-1618,151,918,-217,375,-173
-1601,186,951,-179,383,-146
-1856,230,1027,-171,331,-75
-1663,96,1034,-80,298,-41
-1593,606,992,-55,306,-29
-1579,659,936,-234,286,26
-1429,386,872,-325,237,62
-1384,385,820,-369,186,113
-1415,161,684,-416,97,183
-1339,-299,597,-315,81,215
-1349,-675,1323,-157,139,160
-1090,253,1667,-143,131,92
-992,-526,968,-190,31,73
-1078,-455,602,-26,-45,-40
-1015,-96,472,84,-65,-62
-1029,141,493,63,-80,-25
-982,37,461,25,-94,19
-934,-34,411,-6,-104,23
