xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1136,-735,107,323,-25,-322
-1082,-917,113,217,-67,-358
-922,-989,102,315,-48,-410
-849,-679,240,436,7,-394
-814,-343,428,419,-11,-369
-663,-233,454,362,-71,-327
-507,-83,430,391,-77,-286
-449,130,533,409,-68,-204
-353,299,694,241,-98,-131
-275,25,905,7,-97,-132
-194,-278,1053,-49,-125,-123
75,-584,1056,-31,-142,-154
469,-667,1063,92,56,-175
80,-498,1353,177,132,-227
74,-314,1446,262,73,-257
38,75,1517,300,70,-261
-125,306,1613,259,24,-234
-134,501,1634,259,-46,-188
-21,611,1537,200,-101,-133
28,447,1411,143,-120,-100
211,417,1272,157,-124,-65
190,420,1341,131,-85,-39
205,293,1284,165,-95,-12
183,415,1316,237,-64,0
2,546,1338,283,-69,30
-66,602,1210,370,-141,66
130,737,946,436,-137,113
166,971,966,395,-30,124
-50,1057,1127,244,20,164
-16,864,1051,148,-39,199
217,716,951,157,0,200
119,819,978,253,54,213
155,883,1036,182,32,246
162,673,1118,68,16,262
282,432,1101,-31,-28,266
384,11,1155,-20,-30,251
389,-77,939,196,-105,243
421,160,820,165,-125,244
367,-46,625,58,-169,232
385,-157,370,64,-182,208
469,-139,128,96,-178,190
547,-127,-34,94,-121,172
500,-158,-93,100,-78,155
588,-248,-179,87,-64,141
854,-396,-295,118,-27,119
965,-405,-125,210,46,125
1047,-341,48,159,42,153
1106,-503,66,10,32,160
1279,-718,-152,-11,-12,131
1459,-740,-368,100,-35,87
1486,-554,-362,130,-26,50
1459,-473,-325,36,9,37
1228,-521,-228,-46,30,27
1034,-571,-145,-57,40,8
837,-510,-19,-8,29,-16
768,-380,44,25,10,-33
693,-239,50,37,32,-31
563,-112,52,36,71,-12
465,-65,141,-2,91,15
499,-101,157,-30,91,48
635,-144,138,0,179,66
556,-83,278,20,247,77
496,37,384,10,251,107
572,-26,452,-61,231,143
638,-214,471,-19,215,159
607,88,466,59,215,227
616,33,508,-114,249,320
281,-300,581,-150,274,392
16,-510,762,-173,246,436
6,-909,642,-215,228,436
-174,-987,650,-91,242,419
-278,-1221,673,-32,206,417
-373,-1139,695,78,243,359
-503,-984,706,78,295,362
-637,-957,680,142,358,382
-863,-854,797,113,436,408
-1280,-919,858,112,436,390
-1606,-735,914,190,376,345
-1467,-459,849,95,186,310
-1329,-500,643,-122,160,284
-1272,-763,436,-194,108,238
-1087,-916,306,-78,102,177
-1064,-859,300,141,136,116
-1098,-556,300,329,106,60
-991,-292,292,436,66,33
-997,133,380,436,69,29
