xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1102,-589,132,118,-226,-286
-936,-477,129,112,-241,-269
-787,-432,144,116,-233,-250
-652,-329,139,122,-202,-204
-520,-310,160,110,-157,-170
-495,-234,256,92,-91,-179
-458,-121,353,63,-70,-150
-395,-120,431,64,-19,-116
-386,-51,523,76,5,-87
-276,-27,545,83,56,-40
-328,-20,763,73,138,-27
-448,244,1784,304,84,37
-326,947,1961,-185,-78,96
-215,-617,828,-310,-133,-113
3,-1032,589,-109,1,-36
-234,-764,1098,98,153,0
-230,-529,1859,76,173,24
-668,-617,1961,36,31,82
-891,-877,1961,155,-189,78
-915,-211,1961,125,-283,-5
-849,-140,1939,28,-325,-6
-943,-17,1815,63,-372,1
-846,139,1559,70,-426,28
-823,181,1427,18,-435,54
-708,-8,1235,-10,-428,75
-499,-164,1159,24,-379,79
-418,-193,1337,76,-317,134
-686,-475,1281,90,-390,211
-483,-810,844,38,-436,237
-80,-1052,500,21,-409,158
-11,-912,584,68,-330,95
204,-587,489,74,-316,78
345,-292,366,-120,-240,77
417,-513,145,-204,-187,97
507,-504,46,-275,-121,58
232,-1078,118,-189,-175,-7
453,-1091,-146,185,-253,55
628,-472,-17,170,-210,41
613,-480,113,-64,-165,28
605,-1007,56,-32,-206,29
638,-727,0,157,-238,-5
527,-87,-54,37,-323,-9
665,-125,-455,-189,-347,-47
649,-253,-809,-199,-304,-37
748,-311,-760,-125,-216,8
664,-506,-618,-84,-186,1
710,-613,-735,52,-217,-7
824,-119,-829,94,-164,15
611,28,-1004,-82,-140,55
574,-364,-1343,-63,-90,96
523,-354,-1204,46,30,108
409,-274,-873,70,127,97
341,-293,-593,95,164,87
354,-205,-358,153,174,116
195,-135,-123,216,174,193
93,64,38,347,123,383
250,94,47,373,184,436
190,-294,33,436,370,436
-354,215,407,436,436,436
-949,170,802,259,377,423
-773,-433,696,186,253,410
-1043,-300,646,247,223,426
-1007,-344,450,260,195,436
-1057,291,778,207,340,436
-1648,388,876,9,328,436
-1961,-520,916,54,280,436
-1961,-308,920,172,109,436
-1742,-546,518,252,-31,337
-1472,-440,296,371,0,211
-1399,-291,350,436,-17,160
-1064,-241,384,430,21,0
-1349,-327,275,401,96,-180
-1480,-103,272,436,92,-205
-1401,115,298,436,55,-100
-1366,110,149,436,-1,-90
-1216,591,35,436,-53,-154
-1037,1266,36,436,-94,-112
-392,1277,159,283,-70,80
-687,662,278,172,48,113
-899,184,261,90,25,109
-907,-41,239,97,51,68
-1074,12,309,101,77,9
-1130,67,336,63,32,-26
-1014,53,227,58,-15,-24
-907,37,165,68,-28,-19
-866,42,170,80,-20,-11
