xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1550,-1018,-1105,329,-37,-436
-1466,-1002,-1251,436,-11,-436
-1291,-698,-1257,436,17,-436
-995,-424,-1065,436,5,-436
-635,-356,-949,436,-7,-436
-401,-240,-814,436,66,-436
-404,-223,-637,369,129,-436
-396,-201,-541,308,180,-436
-429,-131,-384,290,278,-436
-503,-10,-190,294,345,-414
-588,-7,-55,288,354,-387
-754,89,154,261,293,-386
-729,138,244,138,288,-396
-860,-79,290,-13,340,-379
-1086,-148,418,45,388,-353
-1309,-91,641,58,396,-342
-1435,-193,820,-77,331,-306
-1566,-341,940,-1,254,-319
-1480,-15,1073,14,191,-290
-1438,-218,1314,-94,170,-182
-1535,-237,1424,-4,132,-153
-1562,-139,1807,48,43,-113
-1471,373,1960,436,-436,263
152,314,1539,307,-135,-52
-579,799,1207,2,95,-66
-531,350,1094,-436,19,-59
-361,-282,1277,-275,43,-81
-322,-73,1179,40,45,-40
-600,175,1174,9,34,-19
-377,6,1059,-142,45,-27
-553,-180,1150,-212,109,-36
-746,-470,1296,-172,87,-84
-807,-501,1564,138,91,-100
-1120,-191,1961,391,76,-48
-1585,258,1961,436,-86,5
-1185,882,1961,436,-243,97
-1039,603,1935,155,-140,188
-911,42,1582,111,-13,198
-1005,24,1382,253,5,296
-830,31,1086,417,-28,364
-859,258,1191,436,54,436
-1301,553,1646,378,92,436
-1455,619,1318,218,88,436
-1555,507,964,28,176,436
-1741,112,789,-114,156,436
-1435,-257,625,118,-142,436
-638,17,496,375,-147,436
-475,180,355,323,114,436
-696,149,263,213,206,436
-467,57,47,69,186,436
-233,-106,-242,-122,212,436
-302,-123,-161,-160,296,436
-509,-72,9,-292,316,436
-429,-183,-303,-436,235,436
-392,-431,-600,-436,165,436
-308,-630,-500,-436,-33,400
-145,-1054,-1159,-292,121,436
-881,-919,-723,73,299,436
-1333,-498,-472,-403,298,436
-1417,-1579,-515,-436,193,436
-1351,-1198,-736,-198,122,436
-1226,-1425,-533,-97,247,436
-1646,-962,-312,-165,243,310
-1492,-1183,-600,-255,120,322
-1476,-1139,-317,21,180,350
-1535,-677,-137,12,181,298
-1661,-770,-22,9,184,334
-1654,-677,-19,113,146,314
-1617,-467,-186,195,130,323
-1512,-496,31,241,161,376
-1700,-533,223,338,203,326
-1961,-1961,1961,436,-196,133
-173,84,-92,436,-49,-66
31,237,-940,436,434,122
-1070,99,-712,160,294,152
-1574,322,641,105,104,58
-884,-27,284,-275,-174,30
-522,-213,-354,-432,-18,2
-908,-497,-320,-163,0,33
-794,-271,-145,138,-24,54
-820,-151,-192,296,70,67
-940,40,-120,245,41,74
-790,65,-191,51,-12,49
-757,-65,-121,-78,15,37
-763,-108,-69,-44,-1,33
-740,-165,-179,-27,10,45
