xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1703,-1505,-162,73,436,-436
-1466,-940,-108,198,359,-414
-1166,-1055,-179,192,280,-368
-998,-938,-187,285,252,-309
-756,-898,-120,318,175,-241
-444,-755,-234,310,148,-209
-309,-895,-56,345,107,-140
-77,-663,-116,340,31,-114
58,-708,-105,274,49,-93
157,-683,-32,279,40,-69
263,-542,-107,202,2,-52
276,-750,-27,178,28,-50
153,-418,274,200,52,-55
138,-307,338,147,5,-52
113,-30,535,183,62,-67
22,480,648,91,-7,-41
174,399,553,114,31,15
9,608,905,70,50,68
90,289,823,-20,9,74
-8,206,1009,-50,29,92
41,-43,837,-122,-17,88
118,-391,573,-137,-6,79
181,-376,538,-119,27,75
95,-407,687,-150,38,74
154,-454,547,-131,34,85
178,-522,396,-192,44,83
121,-724,397,-207,78,58
96,-713,432,-249,58,33
148,-585,268,-305,57,23
59,-693,176,-360,45,1
38,-725,-58,-284,-5,63
104,-822,-434,-431,9,29
-157,-1175,-231,-314,64,114
-496,-1406,-243,-326,-50,145
-320,-1817,-666,-283,-33,124
-671,-1961,-336,-208,-6,155
-614,-1961,-361,-191,-5,60
-683,-1961,-32,-2,0,78
-692,-1910,242,34,-23,16
-619,-1404,375,131,-102,-4
-509,-848,379,177,-203,2
-449,-611,314,257,-312,71
-374,-366,229,325,-397,173
-398,-239,175,333,-436,259
-446,-299,48,329,-436,325
-379,-362,-49,344,-319,384
-389,-211,60,339,-130,400
-605,87,199,208,45,393
-964,69,333,-16,181,376
-1158,-23,335,-227,242,321
-1307,-232,327,-346,280,256
-1319,-297,310,-351,289,205
-1404,-270,375,-305,289,195
-1452,-281,471,-233,243,214
-1439,-369,539,-165,154,214
-1353,-392,497,-96,63,192
-1229,-379,428,-50,4,157
-1121,-344,373,-36,-23,110
-997,-305,340,-48,-17,48
-895,-265,354,-56,20,-16
-957,-166,436,-54,49,-60
-1017,-95,493,-50,36,-73
-1015,-52,484,-45,1,-56
-986,-87,443,-37,-41,-34
-970,-138,384,-19,-68,-35
-973,-105,330,-10,-79,-52
-935,-73,301,-18,-70,-72
-931,-44,299,-29,-51,-86
-925,-34,317,-29,-32,-94
-926,-8,336,-19,-21,-94
-923,-1,361,-5,-19,-85
-913,8,367,6,-23,-74
-893,22,360,8,-26,-65
-869,35,352,7,-21,-55
-868,24,363,5,-12,-40
-863,9,366,5,-8,-30
-856,18,367,4,-3,-18
-860,-16,377,7,1,-3
-855,-35,385,13,3,5
-851,-21,381,9,6,14
-856,-59,384,5,13,25
-894,-93,414,11,18,30
-905,-76,421,1,12,30
-902,-103,404,-10,14,32
-915,-130,413,-12,18,31
-906,-144,412,-15,16,25
