xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-408,-576,-670,74,150,-47
-299,-569,-654,95,140,-42
-245,-509,-614,69,130,-44
-250,-655,-564,91,55,-27
-125,-643,-512,126,6,-26
-33,-597,-574,132,21,-57
-36,-594,-573,173,16,-36
-2,-569,-518,252,-11,-16
32,-471,-385,226,0,-3
-11,-616,-247,143,3,-11
-8,-717,-214,107,-23,-31
30,-868,-287,142,-43,-21
62,-859,-263,178,-20,-46
22,-788,-212,157,-8,-76
48,-786,-108,161,-23,-77
93,-671,-26,176,-33,-89
140,-572,47,186,-46,-96
190,-429,182,237,-49,-70
221,-242,316,245,-27,-38
204,-177,463,133,3,-7
141,-210,627,-23,49,15
68,-362,654,-144,38,7
95,-513,563,-158,6,23
105,-620,447,-134,-26,14
155,-576,276,-148,-31,10
154,-627,153,-208,-16,10
127,-725,50,-191,-14,19
124,-731,-14,-131,-29,28
143,-651,-33,-152,-8,45
64,-729,-95,-222,-3,22
68,-803,-242,-184,-39,31
109,-719,-319,-107,-58,34
133,-508,-393,-167,-30,49
-5,-762,-427,-197,-30,94
8,-870,-519,-103,-85,79
45,-633,-486,-140,-38,70
-162,-837,-454,-145,-61,86
-106,-709,-435,-68,-116,84
-141,-585,-467,-95,-85,95
-266,-589,-514,-135,-70,114
-343,-605,-486,-148,-83,124
-382,-590,-619,-160,-71,134
-509,-604,-536,-103,-86,166
-488,-469,-538,-92,-69,170
-710,-476,-584,-126,-27,191
-863,-522,-496,-35,-138,196
-769,-296,-597,-61,-128,188
-893,-387,-707,-120,-90,166
-951,-257,-622,-123,-129,157
-946,-310,-692,-164,-115,122
-965,-284,-650,-139,-132,85
-910,-228,-552,-126,-125,67
-921,-216,-490,-100,-107,44
-917,-162,-438,-63,-123,15
-855,-75,-399,-62,-129,-4
-825,-1,-367,-92,-112,-18
-831,-4,-350,-135,-102,-22
-804,-22,-337,-133,-93,-19
-789,-31,-314,-107,-68,-5
-807,-35,-277,-63,-50,12
-817,1,-234,-25,-39,25
-822,43,-203,-36,-29,21
-831,55,-193,-76,-21,10
-829,60,-202,-119,-18,-1
-817,32,-226,-144,-12,-7
-807,6,-234,-144,-3,-6
-799,-17,-230,-130,6,-2
-805,-38,-215,-112,13,5
-815,-69,-200,-76,14,16
-822,-69,-176,-28,12,28
-849,-54,-160,8,10,37
-869,-34,-146,27,5,42
-890,-45,-134,36,4,38
-882,-37,-133,43,4,21
-887,-15,-125,34,13,-2
-893,3,-115,18,16,-27
-883,21,-109,6,17,-43
-881,25,-117,4,17,-50
-874,42,-113,18,15,-50
-873,63,-100,33,11,-46
-850,84,-94,34,3,-40
-837,92,-92,22,6,-33
-850,96,-88,14,2,-29
-835,100,-98,5,-1,-21
-834,91,-106,0,-2,-11
-832,89,-107,-1,-3,-3
