xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-975,-1064,-698,-5,219,-426
-1025,-949,-511,190,285,-364
-859,-728,-138,282,167,-310
-589,-734,-68,370,-20,-270
-226,-533,-255,410,-142,-235
-25,-604,-146,372,-103,-213
65,-268,99,291,-101,-219
134,-373,94,221,-102,-164
77,-206,233,194,-103,-160
143,-315,182,145,-149,-157
402,-30,246,186,-89,-112
239,154,438,62,-40,-87
395,-132,378,52,-40,-60
541,-36,403,83,9,-23
352,111,519,27,45,18
486,-118,441,-15,36,52
615,-311,321,45,55,108
476,-239,316,55,132,158
233,-386,362,-19,159,183
138,-584,343,-42,187,170
-43,-440,401,-88,196,131
-25,-666,355,-105,187,145
-175,-519,458,-63,222,143
-164,-354,556,-198,181,114
-367,-1031,435,-123,169,166
-645,-530,789,-142,111,124
-446,-928,302,-332,29,91
-515,-949,54,-227,-7,107
-302,-1004,-105,-281,48,200
-798,-1123,242,-110,75,338
-892,-881,68,-223,-1,240
-723,-882,-189,-286,13,170
-918,-591,35,-219,-6,218
-1163,-663,-134,-237,-134,251
-1024,-717,-250,-149,-131,301
-1243,-233,-30,-170,-47,327
-1513,-231,-39,-302,-78,287
-1461,-471,-300,-262,-124,256
-1364,-306,-301,-191,-94,239
-1291,-316,-161,-226,-28,192
-1270,-424,9,-182,-30,147
-1182,-277,107,-81,-90,119
-1043,-82,84,-142,-133,45
-926,-57,-101,-228,-134,-3
-837,-139,-200,-249,-83,8
-854,-261,-161,-188,-27,30
-898,-284,-64,-94,-6,40
-910,-217,-7,-12,-1,37
-907,-137,54,21,-9,25
-862,-81,41,38,-13,7
-851,14,41,38,2,-2
-823,80,56,9,31,-13
-867,67,77,-11,63,-19
-918,75,136,-13,67,-21
-938,54,179,-15,53,-24
-951,24,169,23,32,-18
-945,44,154,78,16,-9
-950,83,180,99,6,-10
-879,127,165,94,6,-17
-895,230,158,37,27,-17
-897,131,169,-3,42,0
-957,17,178,14,24,8
-978,62,159,43,-10,2
-918,130,109,36,-25,3
-890,108,74,17,-21,5
-880,76,70,15,-7,3
-889,106,92,12,0,2
-898,106,86,-4,-2,7
-895,63,84,-5,0,10
-893,60,89,2,-5,10
-896,75,88,4,-3,13
-897,88,86,-4,0,14
-903,55,82,-10,1,12
-895,44,86,0,3,11
-900,62,98,5,4,12
-911,67,109,2,1,11
-905,61,108,1,0,9
-913,80,105,-1,-1,8
-902,70,90,-11,-2,5
-894,53,85,-12,1,0
-904,71,104,-8,3,0
-908,82,104,-6,0,1
-894,81,92,-5,-2,5
-888,86,89,-7,2,1
-896,91,105,-9,2,2
-902,77,101,-9,0,2
