xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-818,-671,-1004,121,266,-311
-756,-567,-873,177,286,-310
-575,-424,-766,74,282,-277
-382,-463,-648,-7,248,-260
-106,-327,-385,-83,228,-225
80,-425,-367,-157,238,-172
22,-776,-411,-19,194,-58
129,-568,-435,268,84,-23
189,-462,-371,275,8,15
378,-455,-402,268,-18,24
80,-620,-460,323,-38,65
376,-791,-241,226,-27,112
109,-1061,-219,215,-32,-30
257,-667,-160,436,-76,-138
267,-115,45,436,-77,-157
333,295,69,436,-18,-37
-222,1561,1354,436,-59,135
404,1586,123,433,-115,109
262,1002,726,-431,133,80
-190,170,1145,-436,103,37
-24,20,803,-436,14,124
-86,-593,67,-436,27,115
38,-1350,-191,-365,-101,-23
291,-446,-160,-46,-49,40
103,-679,-86,-100,-76,89
257,-437,-42,-256,-16,94
-8,-1206,-337,-271,-28,86
119,-668,-80,-82,-83,83
-115,-915,-279,-242,-93,102
-24,-696,-183,5,-160,96
-216,-684,-146,-277,-124,156
-462,-1382,-435,68,-227,151
-116,-252,-279,-12,-238,43
-479,-1043,-378,-239,-132,228
-654,-808,-373,15,-228,189
-661,-670,-300,-329,-177,48
-750,-820,-463,39,-207,155
-675,-277,-639,-95,-127,205
-1165,-1061,-393,-419,-130,187
-969,-970,-294,-19,-175,210
-1083,-533,-268,-91,-131,160
-1038,-638,-260,-103,-174,138
-960,-406,-384,-133,-134,181
-1076,-627,-405,-176,-114,192
-1018,-535,-155,-117,-54,187
-1143,-509,-295,-131,-77,169
-862,-397,-131,-22,-83,131
-801,-188,-61,49,19,145
-956,-203,-233,67,39,194
-917,-138,-165,202,8,143
-952,240,26,107,32,130
-1076,168,-105,-238,32,115
-980,-38,-218,-413,-56,20
-772,-204,-294,-428,-21,-17
-868,-281,-125,-269,53,-61
-979,-131,-27,-104,53,-52
-909,28,-35,-26,5,-39
-850,79,-114,-77,4,-29
-836,51,-120,-118,9,-48
-828,-12,-87,-105,18,-39
-851,5,-46,-42,16,-19
-868,22,-43,0,0,-14
-845,99,-61,12,1,-4
-860,60,-81,-26,11,-7
-879,39,-48,-31,17,-12
-884,55,-14,-14,10,-11
-869,71,-35,-11,5,-11
-866,62,-44,-6,5,-6
-870,77,-38,1,7,0
-888,66,-28,-6,2,1
-867,62,-52,0,5,-9
-885,95,-35,-12,11,-6
-875,78,-19,-19,8,-9
-876,103,-22,-16,6,0
-879,54,-37,-21,-4,1
-862,54,-74,0,1,1
-875,85,-41,-3,5,6
-889,59,-18,-13,0,1
-862,67,-47,-13,-1,-3
-868,66,-65,-23,1,-4
-874,63,-57,-18,3,0
-882,49,-48,-3,-3,5
-860,57,-54,-5,-2,1
-860,83,-53,-10,1,-5
-880,89,-35,-10,1,0
-874,83,-49,-18,-2,3
