xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-758,-660,1064,-95,-436,-111
-594,-663,1130,-56,-436,-142
-366,-654,1095,-28,-436,-162
-198,-632,996,1,-436,-183
-277,-467,995,40,-436,-195
-136,-351,759,39,-436,-174
104,-393,528,50,-436,-172
135,-223,500,51,-436,-198
105,-91,496,20,-436,-166
199,-157,380,-18,-436,-175
219,-144,372,-23,-436,-230
108,123,317,-15,-436,-215
75,131,84,-73,-436,-205
-92,167,-144,-73,-436,-223
-224,159,-304,-84,-436,-201
-452,109,-520,-91,-436,-246
-306,292,-687,-138,-405,-239
-285,111,-691,-149,-257,-245
-549,262,-533,-100,-168,-287
-574,558,-562,-81,-147,-240
-598,629,-877,-87,-124,-204
-587,678,-1141,-89,-44,-151
-566,704,-1321,-68,57,-70
-564,508,-1262,-40,166,7
-573,322,-1015,23,203,35
-508,275,-868,56,182,46
-344,397,-942,33,138,97
-190,350,-959,-26,126,181
-186,260,-857,-45,85,239
-110,220,-829,-50,6,267
12,321,-916,-100,-39,287
-164,224,-885,-97,-97,289
-129,364,-1034,-47,-151,281
-65,512,-1194,-36,-91,328
-228,439,-1048,-59,-21,392
-399,273,-876,-65,-31,423
-242,203,-1035,-63,-54,436
-139,-5,-1162,-59,-8,436
-270,-129,-1056,-15,41,428
-384,66,-1059,39,44,394
-227,33,-1254,96,120,425
-402,-152,-1170,213,319,436
-682,-372,-935,363,436,336
-886,-455,-874,422,436,182
-1608,-68,-434,436,436,18
-1961,259,251,325,436,-126
-1961,619,747,154,436,-179
-1961,405,675,221,436,-209
-1961,668,1961,222,436,-2
-1961,395,1961,342,436,-11
-1961,915,1933,230,362,-124
-1720,1054,1900,-3,282,-130
-1653,865,1961,-29,190,-92
-1609,433,1912,16,74,-32
-1410,152,1503,71,-85,-7
-1077,256,1167,-18,-96,-105
-1116,351,1080,-189,-120,-122
-730,-186,687,-222,-145,-84
-562,-172,561,-88,-51,-82
-317,118,466,-62,75,-48
-224,199,584,-127,264,-19
-524,102,759,-190,302,60
-627,-65,824,-221,315,98
-878,49,903,-271,289,148
-965,-24,805,-369,183,228
-1129,-302,657,-389,135,292
-1372,-465,661,-299,81,358
-1342,-331,507,-258,13,347
-1348,-261,349,-304,-31,332
-1190,-408,228,-282,3,302
-1172,-386,268,-229,120,251
-1252,-436,410,-211,185,200
-1241,-550,564,-181,184,113
-1208,-470,657,-137,135,33
-1139,-347,668,-101,63,-10
-1039,-254,603,-77,1,-36
-924,-186,537,-55,-23,-56
-922,-91,498,-48,-23,-65
-919,-64,479,-52,-16,-67
-934,-73,478,-46,-4,-72
-968,-80,484,-14,10,-72
-1020,-65,537,24,17,-76
-994,-50,568,46,10,-85
-953,-19,603,64,3,-98
-999,72,628,52,-26,-107
-999,137,614,20,-64,-110
