xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1927,-1345,-1211,436,157,-436
-1723,-930,-1069,436,113,-436
-1581,-614,-742,436,16,-436
-1169,-495,-548,436,-104,-436
-861,-393,-315,436,-145,-436
-656,-198,-118,436,-172,-436
-541,-50,-7,410,-176,-436
-488,231,246,289,-208,-436
-480,136,166,-184,-155,-436
-525,-350,-49,-165,-173,-436
-261,-129,-198,20,-77,-436
-577,-31,-156,253,185,-436
-1259,418,283,404,188,-436
-1535,877,230,436,-39,-436
-1331,1351,44,436,-180,-436
-1364,1556,-68,263,-141,-436
-1273,1673,-143,143,-147,-347
-924,1834,-183,114,-102,-205
-539,1825,-895,94,144,-127
-905,1961,-630,125,320,197
-1216,1961,-605,-207,157,303
-1019,1350,-618,-348,124,436
-1125,1329,-496,-300,231,436
-1336,1261,-385,-436,161,436
-1132,773,-445,-436,28,436
-838,445,-561,-436,-144,436
-179,195,-1032,-436,-256,436
311,158,-1384,-436,-218,436
528,-546,-1416,-436,-126,436
958,-659,-1453,-436,71,420
719,-872,-1222,-436,328,436
374,-1168,-963,-393,436,370
264,-1247,-1033,-436,436,223
10,-1536,-1119,-436,436,221
-331,-1563,-1013,-362,436,195
-446,-1249,-937,-388,436,188
-885,-1961,-1238,-434,436,258
-1163,-1880,-1103,-145,436,177
-1341,-1713,-1007,-4,436,264
-1708,-1693,-647,249,436,228
-1805,-828,-270,436,436,217
-1961,-479,111,436,436,269
-1961,215,850,436,274,64
-1913,1154,697,-205,-147,-14
-1882,247,291,-436,-274,63
-1780,319,-170,-436,-429,76
-1961,479,-365,-436,-436,60
-1961,356,-920,-436,-436,-18
-1961,95,-1380,-436,-436,-86
-1961,193,-1408,-436,-436,-175
-1961,525,-1877,-436,-436,-169
-1961,706,-1961,-410,-436,-133
-1961,533,-1961,-341,-436,15
-1541,553,-1961,-180,-436,175
-962,396,-1961,-436,-436,303
-272,-772,-1961,-436,-436,118
313,-559,-1961,-436,-199,4
549,-607,-1961,-436,436,287
-1811,-1961,-617,251,436,436
-1361,-392,-365,436,287,-43
-792,35,-123,436,112,99
-593,219,-12,436,-104,-55
-320,507,371,79,-40,5
-248,78,247,-423,110,-9
-475,-280,184,-436,94,24
-509,-625,180,-313,-184,0
-288,-418,37,-94,-260,70
-285,-450,-27,100,-213,167
-319,-82,-123,152,-141,264
-627,-97,-393,-66,-15,395
-1192,-268,-442,-298,41,390
-1636,-612,-526,-436,-89,255
-1497,-985,-627,-436,-361,90
-1103,-1102,-794,-183,-258,251
-1147,-791,-589,154,-126,276
-1324,-484,-476,188,-45,270
-1337,-273,-380,97,-91,222
-1074,-312,-347,-81,-147,165
-960,-372,-327,49,0,202
-1190,-152,-157,134,80,234
-1339,-148,-85,-5,67,183
-1293,-306,-143,-132,-18,76
-1023,-423,-245,-73,-58,-25
-857,-286,-277,96,-13,-75
-866,-53,-185,242,30,-100
-901,188,-95,306,38,-79
