xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-961,200,353,-56,4,-13
-985,354,483,-88,-19,-64
-870,656,429,-152,-6,-144
-1066,1231,779,-294,54,-89
-1277,1153,738,-436,-17,36
-1424,547,492,-436,-106,52
-1425,150,501,-436,-151,42
-1394,64,508,-269,-218,46
-1226,249,415,-246,-273,103
-1029,12,50,-344,-194,119
-862,-463,-129,-366,-137,73
-689,-1055,-345,-207,-92,64
-441,-973,-297,-40,-66,-10
-297,-774,-338,14,-31,-69
-175,-714,-429,49,-17,-98
-151,-646,-660,81,32,-131
-344,-475,-721,98,157,-166
-638,-322,-677,113,248,-176
-838,-178,-689,176,319,-160
-1131,-14,-629,234,380,-168
-1493,304,-595,348,424,-109
-1961,725,518,436,436,-26
-1961,1947,1961,436,312,-22
-1961,1961,1961,36,27,-58
-1961,1418,1764,-235,-212,-42
-1651,576,484,-271,-357,34
-1392,-201,-352,-192,-259,150
-1103,-875,-576,-185,-243,164
-318,-1768,-1252,-59,-281,185
-31,-1961,-1961,-51,-86,91
-327,-1961,-1961,34,87,-97
-790,-1134,-1289,169,182,-190
-1171,-162,-524,258,236,-173
-1357,1961,1201,170,345,-31
-1961,1446,1961,-223,252,12
-1961,984,1961,-106,-85,27
-1605,1074,1529,-125,-242,101
-1380,196,558,-260,-248,110
-1285,-659,-304,-240,-259,105
-766,-1139,-1019,-173,-231,91
-444,-1669,-1688,-217,-105,-48
-82,-1859,-1961,-13,15,-139
-477,-1034,-1553,201,215,-144
-855,-347,-885,226,285,-157
-1315,31,-159,262,382,-114
-1865,615,1181,138,345,-66
-1618,326,1215,-20,62,-124
-1115,205,478,235,5,-12
-1232,929,1059,274,113,99
-1420,667,1245,-16,26,113
-1263,89,591,-113,-103,132
-1057,-156,13,-53,-114,187
-1007,-120,-82,-19,-66,250
-1094,-187,13,-40,-52,257
-1046,-285,64,-27,-105,190
-937,-95,115,-48,-151,132
-926,-33,134,-139,-183,86
-805,-122,56,-156,-182,62
-649,-163,46,-113,-99,51
-675,-69,155,-56,17,73
-730,33,336,-28,123,85
-856,56,497,-42,158,72
-962,-30,603,-42,116,27
-924,63,626,-25,54,-2
-912,57,564,-12,21,-2
-900,149,569,27,21,12
-914,207,625,49,-14,76
-834,63,495,86,-24,71
-813,147,451,111,-5,30
-846,223,473,95,21,24
-913,169,461,74,18,6
-889,97,340,72,12,-9
-900,271,391,73,49,-23
-987,337,467,2,22,-49
-899,265,374,-43,-23,-71
-841,186,259,-11,-15,-65
-867,251,280,6,-7,-51
-845,206,258,-9,0,-24
-885,126,263,-8,12,-26
-903,157,287,8,9,-31
-932,167,307,21,-15,-3
-947,135,249,35,-24,10
-858,135,193,43,-19,-1
-851,216,259,20,9,-13
-887,191,298,0,7,-2
-900,120,302,4,3,8
