xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1345,242,220,35,-38,-135
-1178,383,109,-41,-134,-100
-922,181,41,-108,-114,-91
-757,80,31,-73,-78,-83
-754,85,80,-26,-22,-72
-898,167,196,4,-30,-46
-871,99,164,21,-48,-8
-803,76,153,21,-46,10
-780,94,190,12,-35,16
-872,117,200,-17,-29,22
-1019,152,150,-52,-21,32
-1156,138,101,-71,-28,56
-1043,99,124,-93,-49,75
-810,49,163,-139,-36,69
-704,31,185,-224,-21,32
-735,-1,99,-277,6,4
-901,19,63,-260,10,17
-911,11,27,-216,0,60
-814,-42,57,-167,16,98
-804,-65,146,-159,54,101
-941,-104,242,-157,79,83
-1099,-2,292,-154,72,59
-1192,111,302,-239,14,32
-979,25,174,-303,-9,11
-874,-27,177,-331,17,-7
-836,-100,211,-316,24,-10
-822,-135,238,-258,29,1
-840,-132,268,-181,27,24
-868,-42,291,-134,37,38
-913,-23,294,-155,34,42
-901,-96,266,-152,38,41
-897,-150,260,-124,37,41
-903,-142,263,-81,38,39
-915,-147,243,-60,37,36
-972,-136,315,0,40,26
-1029,393,481,6,25,38
-942,361,376,-39,-15,67
-861,165,297,-46,13,74
-851,8,274,-35,39,45
-919,1,316,-24,58,2
-945,72,343,-53,34,-35
-949,62,304,-97,25,-66
-964,39,259,-100,14,-81
-969,80,258,-67,5,-74
-1006,230,292,17,0,-37
-971,348,318,-8,3,-38
-879,185,299,-100,12,-50
-846,-48,275,-113,11,-60
-852,-54,278,-61,0,-65
-923,-26,240,-44,-14,-63
-1053,11,139,0,-22,-45
-1154,58,140,32,-29,-28
-1142,47,195,24,-45,-24
-1031,21,236,-8,-57,-40
-968,1,237,-45,-64,-64
-972,-2,225,-54,-71,-78
-975,57,192,-63,-88,-79
-920,80,146,-85,-97,-78
-866,157,126,-121,-99,-75
-726,126,84,-185,-94,-64
-648,77,54,-203,-53,-46
-650,40,65,-203,-25,-12
-697,-52,73,-180,14,29
-814,-111,118,-142,28,58
-851,-153,124,-117,39,77
-913,-175,158,-85,52,86
-937,-156,187,-81,54,83
-926,-182,194,-79,58,74
-956,-162,214,-66,68,66
-1018,-122,234,-51,69,66
-1085,-87,244,-46,59,68
-1139,-44,212,-51,45,64
-1159,-7,147,-78,29,58
-1175,5,45,-88,52,52
-1355,85,124,-105,69,53
-1035,-124,207,-138,7,63
-691,-371,308,-83,11,47
-614,-361,340,54,44,2
-920,178,486,68,15,-47
-990,348,262,-133,-93,-56
-980,315,33,-211,-109,-40
-872,249,-110,-290,-100,-5
-725,-7,-122,-322,-25,9
-715,-211,-17,-284,34,-14
-704,-273,93,-161,57,-33
-791,-103,196,-21,65,-26
