xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1655,-217,777,-70,-436,-17
-864,-149,381,-53,-436,-50
-155,-88,-37,-97,-436,-71
86,-121,-151,-105,-436,-90
227,-108,-116,-2,-297,-38
953,-168,131,-31,106,-29
-772,-270,1341,-154,167,8
-1202,-353,1599,-278,-35,-46
-326,-852,1055,-388,-109,-110
-409,-1163,769,-436,-6,-180
-494,-1718,557,-428,62,-374
-440,-1754,471,-123,127,-436
-307,-1180,665,-48,160,-436
-93,-1270,759,-214,171,-436
295,-1629,586,-218,168,-436
401,-1582,834,-132,128,-436
423,-1040,951,-71,-40,-436
688,-552,849,90,-231,-436
703,-149,675,253,-352,-436
620,115,571,332,-436,-266
966,47,-181,237,-436,-191
1118,313,-229,127,-194,-137
990,202,103,-216,-96,-104
1018,-134,-87,-272,21,-48
879,-245,-137,-123,180,11
435,-222,140,53,272,-34
372,1,493,314,248,71
517,-200,252,260,230,-64
303,5,213,436,436,-180
-544,1035,1884,436,436,-81
256,1039,956,436,114,-8
1198,887,1666,-273,282,109
-155,328,1024,-436,37,-60
426,-102,618,-436,-329,-51
1517,-458,-161,-43,-119,-94
811,-6,326,436,270,-66
366,544,1091,436,19,14
937,741,99,130,68,-13
738,410,358,-285,184,-63
579,98,30,-329,338,-85
139,86,338,-250,436,-65
97,-8,480,-141,413,-2
-9,64,385,-32,436,-69
-309,108,788,6,365,11
-239,-136,632,-2,366,-23
-482,153,1163,215,295,-102
-587,377,928,216,357,0
-514,245,590,37,392,-179
-792,408,927,-226,436,-174
-1241,117,1110,-178,409,-150
-1023,187,919,-208,334,-17
-1016,-38,982,-205,292,-93
-1157,51,1265,-207,256,-97
-1175,-34,1060,-94,279,-23
-1025,210,801,-144,436,-17
-1225,107,472,-378,436,-87
-1588,-33,141,-436,436,-98
-1940,-136,-286,-436,436,-220
-1961,-571,-358,-436,128,-151
-1197,-877,-329,-436,-226,-256
-233,-1095,-579,-436,38,53
-866,-893,-360,0,186,44
-969,-474,-121,134,224,51
-1364,-423,26,124,115,-81
-978,-133,-217,-22,-30,-138
-649,-57,-348,-304,-58,-109
-790,-407,-121,-207,-53,-46
-630,-322,-206,71,-4,-7
-785,-147,-232,232,80,13
-915,-20,-231,227,39,23
-868,89,-200,63,-12,5
-774,-53,-248,-123,-12,-2
-757,-202,-223,-110,-19,-24
-734,-175,-213,-16,8,-18
-819,-111,-195,35,7,-7
-815,-65,-205,12,-6,5
-791,-123,-253,-11,-10,6
-765,-129,-243,0,2,0
-797,-107,-195,2,12,-2
-830,-122,-149,-8,8,0
-829,-123,-172,-1,-3,-10
-812,-89,-186,-18,-2,-15
-837,-105,-171,-40,-7,-15
-822,-158,-178,-40,-14,-13
-816,-168,-176,-17,-12,-14
-824,-143,-149,-6,-12,-14
