xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
110,950,54,60,-179,-427
432,1818,-362,26,-144,-294
741,1961,-904,64,-113,-132
997,1961,-1071,77,3,0
887,1522,-617,15,126,134
745,505,-67,-2,146,189
802,423,-30,15,102,185
830,263,-546,-60,113,218
734,-231,-666,-60,226,215
415,-379,-515,-54,283,163
437,-546,-666,-35,374,128
174,-895,-266,12,436,42
-334,-713,348,43,436,-56
-221,-687,340,93,436,-125
-673,-62,835,-19,436,-167
-961,-599,1390,-132,436,-187
-621,-340,1790,-31,436,-210
-942,218,1961,-119,436,-214
-462,349,1961,-111,234,-144
-113,801,1961,0,138,-88
-223,1311,1961,-20,69,19
-204,1162,1961,-22,-21,113
-144,1034,1961,41,-72,191
-118,913,1584,62,-79,263
-115,675,1397,90,-83,307
24,611,1141,111,-63,337
-194,454,1249,80,7,371
-274,263,1255,109,-20,374
-212,362,1094,145,-11,391
-371,729,1053,122,59,436
-686,611,1025,46,132,436
-1085,306,1186,0,190,436
-1270,127,1190,-166,118,436
-883,-919,844,-228,7,436
-172,-1287,857,-78,43,320
-160,-1282,1267,-54,62,78
-216,-589,1279,79,-30,-59
146,161,948,88,-56,-46
238,77,958,-31,31,-37
77,-73,1134,-29,56,-36
23,14,1106,-13,31,-43
-10,26,907,-51,38,-51
-16,-127,776,-107,73,-83
9,-254,648,-23,155,-113
-237,89,664,17,278,-106
-389,32,601,-64,301,-99
-481,-72,566,-67,330,-103
-450,95,605,-51,384,-94
-692,141,609,-120,388,-61
-768,-42,569,-180,375,-30
-899,-57,558,-194,390,1
-1148,10,544,-287,361,54
-1310,-230,463,-367,321,88
-1425,-293,457,-282,324,111
-1564,-40,517,-232,282,157
-1550,-115,465,-291,244,212
-1835,-343,626,-272,270,221
-1849,-201,737,-291,213,187
-1629,-303,654,-368,125,174
-1395,-660,573,-327,67,165
-1295,-870,673,-134,41,118
-1096,-625,581,66,33,53
-1052,-286,574,144,0,0
-1015,-71,537,117,-29,-16
-956,6,485,57,-54,-4
-986,-125,454,17,-76,5
-1015,-204,397,36,-103,-8
-1034,-136,353,61,-121,-30
-1037,-38,319,36,-132,-48
-1007,-35,285,-11,-130,-68
-996,-59,272,-38,-120,-94
-994,-43,261,-41,-109,-116
-941,-2,250,-36,-96,-124
-897,43,258,-34,-72,-123
-866,75,274,-38,-49,-110
-857,55,288,-35,-33,-91
-837,32,300,-16,-22,-73
-815,42,300,7,-10,-52
-804,46,316,25,6,-30
-819,22,346,37,22,-11
-843,12,386,50,33,3
-862,19,410,52,34,16
-873,-6,415,47,37,28
-880,-27,435,40,44,34
-887,-39,443,25,48,34
-883,-55,452,5,51,33
