xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1043,-423,-1005,-436,436,-362
-888,-563,-994,-436,436,-303
-754,-289,-709,-208,436,-120
-1126,-381,-124,-32,436,-28
-994,-195,332,47,324,-71
-893,64,864,125,167,-58
-812,313,1029,35,78,80
-1090,-70,603,-112,-145,117
-1017,-221,-23,-57,-421,116
-940,-322,-594,24,-436,147
-942,-585,-1224,86,-436,146
-572,-602,-1383,182,-436,179
-576,-605,-1571,190,-422,251
-726,-900,-1856,-50,-277,149
-341,-1037,-1961,-281,-198,-61
5,-901,-1961,-279,56,-145
-120,-810,-1834,-173,376,-97
-620,-728,-1562,117,436,-43
-883,-446,-1180,350,436,-68
-768,-87,-845,235,436,-146
-648,35,-477,-80,436,-213
-750,-61,-15,-373,436,-198
-1023,-152,546,-422,167,-184
-556,-266,588,-250,25,-22
-754,-433,575,-101,-26,-17
-810,-466,173,186,-271,0
-556,-3,-84,361,-296,54
-919,-39,-370,107,-327,182
-1122,-492,-971,-40,-436,166
-676,-541,-1364,212,-436,183
-540,-753,-1917,102,-436,258
-234,-1038,-1961,148,-413,168
-63,-820,-1961,-119,-72,28
-97,-1038,-1961,-221,207,-37
-326,-898,-1884,-220,403,-114
-591,-773,-1561,9,436,-108
-661,-437,-1297,208,436,-100
-821,-223,-1057,154,436,-120
-910,-134,-580,-96,436,-200
-1248,-143,546,-172,428,-180
-902,-32,661,-146,173,-62
-811,-238,689,-14,16,-40
-641,-284,316,-41,-169,15
-551,-149,157,154,-262,34
-634,-55,-62,118,-342,78
-925,-201,-475,-34,-436,121
-925,-682,-1325,13,-436,135
-515,-670,-1338,397,-436,201
-562,-470,-1049,436,-436,310
-984,-541,-534,332,-335,283
-999,-376,-413,121,-279,231
-980,-463,-339,-69,-237,164
-987,-541,-261,-96,-209,145
-1020,-624,-157,-18,-188,146
-937,-479,-70,35,-181,113
-838,-415,-73,50,-131,99
-842,-344,-35,87,-61,112
-848,-264,45,96,1,116
-939,-208,165,41,41,91
-999,-224,210,-28,24,56
-951,-218,218,-52,10,31
-932,-220,218,-47,15,17
-931,-202,226,-38,19,2
-934,-159,237,-29,21,-5
-937,-175,243,-27,7,-13
-913,-155,236,2,13,-10
-916,-110,242,26,23,-7
-938,-90,248,16,20,-8
-939,-75,263,-2,3,-16
-916,-60,228,-25,2,-27
-904,-61,215,-28,3,-26
-930,-57,243,-18,7,-20
-899,-49,221,-26,0,-19
-898,-83,198,-37,0,-17
-894,-56,195,-12,2,-12
-883,-42,207,-14,7,-4
-903,-45,231,-14,11,4
-910,-48,239,-24,7,11
-916,-76,248,-40,3,9
-916,-111,214,-32,-3,11
-891,-98,214,-3,-3,20
-892,-66,219,-2,3,22
-922,-68,220,-25,3,19
-915,-82,226,-42,-1,15
-924,-118,217,-43,1,17
-919,-151,205,-22,-2,18
