xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-947,-550,-151,38,-36,-254
-1013,-516,39,50,-138,-226
-725,-506,-100,78,-200,-202
-595,-297,-222,126,-113,-195
-778,-3,160,41,-92,-192
-545,-87,128,-76,-94,-154
-977,-351,446,-49,-89,-95
-821,-301,923,74,-337,-11
-480,-541,514,-17,-368,-43
22,-688,426,-20,-222,-105
258,-614,615,-55,11,-75
-157,-963,803,-81,189,-21
-598,-1272,1374,-21,221,6
-1161,-1692,1750,-69,90,-106
-1089,-1782,1572,87,-118,-178
-948,-1437,1516,214,-203,-206
-1034,-1152,1573,221,-255,-210
-1086,-985,1682,224,-314,-155
-1237,-875,1600,242,-353,-96
-1367,-579,1394,216,-415,-58
-1448,-416,1045,158,-436,-8
-1565,-454,673,58,-436,58
-1081,-747,144,37,-436,70
-953,-749,95,66,-436,78
-722,-914,-120,59,-436,53
-194,-909,-41,170,-403,59
-368,-697,183,186,-366,90
-221,-682,198,77,-382,73
0,-787,64,-6,-399,29
63,-869,-194,81,-403,30
446,-645,-137,115,-349,76
156,-530,116,-11,-311,71
251,-683,-233,-87,-358,42
257,-687,-490,-27,-342,52
376,-561,-593,-8,-274,57
295,-521,-654,-31,-241,40
614,-544,-748,48,-182,39
622,-323,-679,61,-120,112
472,-633,-693,-5,-95,176
574,-962,-861,-57,-113,167
490,-1277,-1058,-51,-72,117
570,-1262,-997,26,3,101
399,-1057,-817,34,56,70
426,-1000,-702,38,110,35
387,-792,-404,90,148,25
265,-579,-245,124,136,33
375,-483,-176,173,153,73
291,-324,-57,187,218,116
72,-262,83,152,251,125
86,-256,85,148,266,148
-32,-191,140,146,286,188
-38,-180,204,138,323,247
-440,-278,286,121,329,283
-526,-517,329,127,288,293
-671,-470,319,139,310,296
-1021,-369,333,108,296,321
-804,-292,256,66,298,317
-1201,403,166,-59,362,349
-1896,215,-96,-171,436,436
-1961,-843,375,103,414,436
-1961,-1114,653,381,211,436
-1726,-626,693,334,70,346
-1341,-477,266,324,-14,205
-1173,-174,207,431,207,188
-1646,-223,341,436,306,303
-1775,39,608,436,258,298
-1784,696,1434,436,-132,197
-1056,103,353,185,-120,111
-908,178,-290,149,-72,-48
-557,347,-137,-10,73,-71
-947,92,-22,7,108,40
-933,-154,1,122,-12,88
-818,-65,-144,231,-102,94
-676,105,-254,234,-114,81
-695,117,-231,204,-83,63
-772,65,-181,196,-77,54
-832,76,-101,192,-87,36
-861,76,-82,166,-91,16
-871,29,-54,157,-81,6
-903,9,-53,166,-60,-6
-884,45,-45,173,-21,-28
-907,168,135,142,42,-51
-1060,540,529,12,-4,-29
-1009,245,450,-55,-69,9
-792,138,218,-25,-37,-18
-814,214,142,-71,34,-31
