xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1716,-883,-771,300,415,-295
-1168,-688,-716,436,215,-275
-919,-510,-595,436,103,-276
-599,-470,-473,436,-3,-277
-360,-426,-311,436,-58,-261
-217,-305,-226,376,-110,-292
168,-189,-164,349,-100,-239
81,31,1,290,-69,-178
124,-106,113,165,-94,-162
289,-272,228,228,-58,-114
89,204,503,127,-76,-115
395,-159,260,10,-106,-121
604,-11,328,92,8,-60
391,112,608,2,63,-31
411,-119,600,-20,40,-12
522,-115,511,39,31,34
480,-20,480,40,69,70
388,-19,463,-19,91,147
268,-361,432,-58,116,165
186,-386,418,-82,131,147
1,-553,373,-110,131,141
242,-495,292,-123,148,105
-6,-515,277,-121,206,172
-253,-552,429,-154,186,203
-119,-796,189,-241,193,178
-589,-870,373,-213,209,214
-399,-991,-4,-348,92,113
-622,-1267,-106,-194,78,218
-536,-1079,-64,-65,31,268
-555,-927,-2,-187,79,200
-1001,-971,133,-129,62,257
-882,-1078,-100,-118,-25,259
-940,-859,136,-82,31,256
-1221,-605,164,-72,-34,283
-998,-805,-188,-179,-63,231
-1025,-636,-54,-128,-2,206
-1127,-312,60,-88,-34,219
-1051,-179,10,-116,-65,221
-1087,-30,-34,-151,-72,230
-1227,-89,-201,-188,-61,235
-1212,-152,-231,-148,-18,242
-1258,-71,-113,-142,32,238
-1238,-147,-55,-169,56,190
-1203,-158,14,-176,55,125
-1104,-172,20,-176,26,70
-1029,-129,9,-172,1,31
-945,-117,-25,-169,-20,1
-898,-105,-75,-146,-28,-18
-852,-76,-83,-118,-22,-28
-850,-28,-61,-101,-15,-33
-869,-5,-22,-98,-11,-35
-844,56,10,-106,-12,-48
-806,138,-10,-136,-3,-72
-899,61,26,-126,26,-50
-908,-17,48,-61,28,-21
-943,11,84,19,18,-9
-924,145,109,51,17,-5
-930,162,145,37,17,-1
-918,143,138,28,6,-8
-924,159,126,29,-2,-12
-906,163,115,24,-4,-10
-894,162,106,15,-6,-10
-900,164,103,5,-10,-7
-873,165,82,-6,-11,-8
-875,134,68,-5,-8,0
-903,101,78,5,-11,7
-902,74,71,19,-20,9
-885,98,63,23,-24,5
-877,114,60,15,-18,1
-863,123,51,0,-7,0
-879,97,74,-6,4,-2
-892,94,99,-1,6,-3
-902,102,108,1,-1,-1
-903,103,98,0,-6,0
-886,128,82,-2,-2,2
-879,109,87,-9,12,3
-910,104,120,-8,9,0
-919,90,128,-2,1,0
-907,133,101,-5,-7,2
-880,117,84,-13,1,2
-883,102,100,-8,4,0
-905,119,116,-7,1,1
-904,113,114,-8,-5,2
-896,103,95,-6,-8,6
-899,86,98,-1,-6,6
-897,76,105,-1,-6,0
