xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1005,-253,448,-257,-436,-105
-724,-190,293,-193,-436,-74
-479,-135,171,-193,-436,-62
-340,-83,147,-214,-393,-49
-431,-218,211,-227,-354,-26
-476,-249,117,-254,-401,-15
-373,-412,-62,-245,-412,-12
-256,-271,-198,-240,-366,-28
-300,-228,-185,-273,-340,-36
-328,-182,-235,-255,-367,-37
-206,-97,-448,-224,-377,-29
-161,-65,-541,-176,-297,6
-567,33,-315,-218,-299,38
-643,-290,-618,-261,-393,37
-545,-549,-1001,-194,-394,9
-784,-575,-1263,-127,-398,-21
-717,-713,-1835,-17,-411,-72
-58,-300,-1961,40,-285,-24
-261,-914,-1961,8,-135,-57
-109,-571,-1961,92,-138,-81
110,-505,-1961,62,-24,-73
-158,-692,-1961,60,89,-69
-315,-959,-1961,47,209,-107
-662,-824,-1856,55,272,-140
-821,-983,-1713,-35,329,-173
-926,-979,-1548,-42,350,-190
-809,-956,-1572,-103,381,-208
-1073,-1018,-1275,-194,413,-223
-1151,-894,-1031,-261,362,-177
-957,-869,-850,-398,349,-83
-1109,-1323,-437,-399,322,-19
-845,-1541,-177,-145,280,13
-609,-1143,124,167,324,-73
-457,-301,614,310,280,-97
-223,-2,367,214,362,-148
-529,-136,363,167,436,-223
-666,193,158,199,436,-219
-1048,177,-96,136,436,-239
-1961,407,186,174,436,-238
-1961,328,404,221,436,-148
-1961,530,172,352,436,-228
-1961,1370,1037,335,436,-75
-1961,1269,1361,171,436,-92
-1961,999,1580,64,372,-147
-1934,1031,1421,-2,89,-200
-1605,1052,1253,-23,-21,-179
-1370,771,1103,-5,-53,-103
-1255,518,1050,40,-46,-89
-1205,559,1140,17,-77,-112
-1131,500,1012,-84,-135,-118
-991,169,809,-111,-187,-69
-854,-19,723,-62,-192,-53
-711,219,610,-114,-178,-67
-507,14,614,-201,-151,-25
-320,-105,525,-193,-116,9
-124,-10,513,-230,14,-15
-141,96,610,-244,146,29
-403,81,694,-300,195,129
-448,-268,818,-275,246,180
-816,-381,1047,-210,239,225
-903,-396,1035,-251,202,214
-1097,-720,1101,-217,184,212
-1043,-643,1027,-118,139,199
-955,-386,870,-137,121,164
-908,-273,699,-178,129,139
-1011,-361,651,-167,164,139
-1211,-484,951,-47,210,140
-1345,-413,1076,17,105,95
-1176,-291,820,40,-15,62
-1026,-215,602,6,-48,38
-940,-184,522,-27,-37,-3
-914,-116,495,-51,-20,-41
-916,-61,482,-58,-10,-50
-897,-50,483,-45,-9,-46
-874,-7,479,-27,-17,-33
-854,-15,451,-20,-22,-18
-852,-43,433,-12,-16,-10
-860,-46,438,-4,-4,-10
-886,-40,464,3,4,-10
-899,-25,487,3,5,-9
-895,-30,491,0,-1,-10
-891,-31,486,5,-3,-10
-886,-13,485,11,-4,-9
-883,-5,479,10,-4,-6
-883,-15,481,8,-1,-3
-882,-25,487,8,0,-3
