xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1961,-1378,1018,-93,-183,-436
-1961,-713,829,-37,-222,-436
-1961,-117,701,-16,-283,-436
-1790,237,435,-19,-368,-436
-1272,460,325,-54,-372,-436
-885,453,183,-112,-369,-436
-593,520,69,-122,-336,-436
-340,581,57,-157,-257,-436
-248,573,-53,-234,-186,-436
-260,284,-59,-243,-69,-436
-559,398,179,-148,8,-436
-778,714,415,-90,-16,-436
-830,952,559,-62,-38,-436
-855,1461,755,-32,-36,-436
-909,1961,871,-20,-125,-385
-683,1961,547,-6,-226,-180
-344,1961,-10,47,-172,61
-478,1961,126,67,-47,255
-638,1779,303,90,1,403
-788,1704,304,63,-6,436
-728,1698,119,24,-7,436
-851,1476,-135,-129,10,436
-908,932,-536,-257,6,436
-614,151,-1072,-276,40,436
-262,176,-1329,-249,170,436
-544,-656,-1492,-388,303,436
-237,-1443,-1327,-177,411,436
-447,-1281,-1000,-226,436,435
-749,-1961,-712,-294,436,312
-1029,-1961,-291,-180,436,175
-1236,-1747,155,-179,436,113
-1694,-1898,667,-195,436,20
-1961,-1961,1167,-159,436,-40
-1961,-1751,1607,-87,436,-121
-1770,-1309,1705,-86,436,-165
-1619,-948,1873,-16,407,-170
-1488,-136,1952,-17,251,-136
-1087,268,1789,-148,86,-37
-1029,312,1665,-198,23,68
-1335,297,1893,-212,-142,205
-1549,290,1731,-249,-337,328
-1961,79,1462,-350,-436,400
-1961,-354,1133,-329,-436,401
-1961,-461,943,-274,-436,366
-1961,-252,818,-284,-436,350
-1961,-244,575,-339,-436,330
-1961,267,-29,-431,-436,288
-1961,793,-1095,-436,-436,156
-1336,652,-1835,-436,-436,147
-844,-314,-1892,-324,-327,282
-120,-1025,-1102,-140,98,230
-786,-1116,-204,-52,237,49
-826,-791,61,-11,207,-86
-831,-484,210,3,157,-172
-810,-288,305,56,98,-161
-580,-179,319,97,70,-121
-391,-229,427,104,89,-64
-279,-249,565,87,103,-12
-259,-239,612,15,61,43
-170,-374,540,-17,22,94
-174,-420,571,39,11,165
-333,-148,578,16,-20,266
-413,-504,487,-41,-26,370
-671,-676,729,76,45,429
-1240,-467,907,49,19,436
-1040,-998,777,34,-26,436
-1183,-866,832,132,31,405
-1229,-520,840,132,61,367
-1153,-296,769,58,118,320
-1436,-189,785,-41,189,317
-1547,-347,776,-66,161,325
-1448,-420,703,-40,128,255
-1341,-346,676,-6,109,184
-1254,-278,656,17,89,141
-1236,-232,682,15,58,89
-1196,-152,642,-14,2,24
-1087,-115,549,-36,-40,-30
-1010,-6,499,-49,-55,-77
-960,77,454,-65,-59,-101
-893,111,408,-70,-48,-103
-865,185,414,-72,-35,-98
-797,223,417,-73,-14,-85
-809,225,434,-62,-3,-52
-830,153,442,-39,0,-28
-859,113,446,-1,7,-26
-893,173,490,19,11,-27
