xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-856,-166,459,-37,46,-2
-1149,-42,1131,-29,-34,-15
-920,82,950,-53,-139,6
-585,-20,845,-76,-36,-2
-712,46,1444,-104,55,-60
-839,317,1776,-110,36,-88
-1228,341,1890,-143,-70,0
-1331,10,1527,-141,-195,43
-1047,-495,596,-157,-225,48
-920,-672,135,-20,-108,-16
-841,-335,70,42,-69,15
-582,-361,-147,24,-64,12
-338,-452,-184,9,18,10
-362,-523,-28,75,61,16
-330,-430,-37,67,94,-23
-151,-473,-230,66,122,-26
-214,-496,-291,163,194,-32
-130,-166,-450,103,194,-52
-202,-695,-913,91,288,-50
-883,-458,-1067,45,333,-107
-1177,-977,-1415,-124,378,-174
-1440,-262,-1316,-11,436,-188
-1961,238,-423,-87,436,-148
-1961,-179,-134,-136,307,-127
-1909,113,-146,-216,295,-149
-1961,129,847,-190,239,-113
-1961,61,1801,-149,128,-49
-1961,-28,1961,-166,-30,0
-1961,-690,1264,-179,-208,0
-1801,-977,123,-52,-265,34
-1481,-985,-571,2,-292,0
-1208,-533,-752,21,-265,-5
-916,-576,-1117,84,-295,36
-499,-363,-1394,52,-231,28
-281,-507,-1255,78,-190,38
110,-320,-1366,80,-133,21
125,-214,-1198,-41,-31,-36
238,-153,-1330,-23,13,-47
139,-4,-1355,-32,130,-40
-163,-159,-1292,-80,185,-46
-319,-301,-1506,-39,262,-35
-802,-202,-1100,-177,347,-72
-1150,-552,-1076,-162,334,-57
-1632,-657,-589,-140,405,5
-1961,-1197,758,-108,327,-64
-1961,-891,1348,-112,241,-127
-1961,-279,1961,48,87,-12
-1961,-147,1813,-57,-133,-49
-1961,-555,1020,-10,-264,7
-1640,-708,-251,79,-380,62
-1231,-943,-1060,106,-326,52
-860,-540,-1304,155,-282,64
-688,-437,-1166,131,-260,84
-144,-223,-1596,157,-214,89
83,-297,-1492,91,-120,69
729,-78,-1899,125,-44,67
653,-453,-1961,1,100,-12
389,-121,-1886,-37,240,-75
-215,-88,-1494,-49,312,-47
-734,-500,-1531,-57,360,-34
-1341,-403,-977,-86,391,-36
-1895,-630,-313,-16,309,17
-1961,-653,47,-58,257,-35
-1961,-311,1057,-1,180,-29
-1961,45,1223,16,15,3
-1775,-247,741,-58,-101,-16
-1599,-252,491,-52,-202,-19
-1458,-372,73,-42,-325,-19
-1501,-288,-62,76,-436,28
-1546,-183,-333,106,-436,74
-1131,-477,-1018,198,-436,101
-1003,-186,-725,256,-418,155
-960,-239,-599,126,-334,176
-698,-367,-486,9,-237,117
-625,-310,-321,-68,-179,68
-534,-291,-291,-114,-142,38
-509,-290,-270,-143,-73,17
-484,-343,-137,-145,5,14
-555,-443,92,-81,88,19
-720,-367,348,9,119,15
-820,-311,490,65,95,3
-839,-122,529,90,61,-6
-855,3,528,56,52,0
-776,-26,540,13,66,11
-821,-91,621,-16,83,-3
-814,-50,659,-27,97,-8
