xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-763,-131,-25,-242,22,1
-784,-57,73,-188,35,5
-814,-19,124,-146,54,23
-902,60,212,-126,62,46
-937,72,255,-154,51,62
-947,43,252,-191,44,66
-976,14,238,-238,33,47
-987,-6,192,-283,24,24
-960,-75,147,-300,18,10
-916,-111,141,-272,26,0
-926,-41,200,-261,35,-10
-914,-55,204,-282,31,-17
-888,-81,207,-255,38,-23
-901,3,244,-261,37,-24
-867,-70,206,-263,41,-19
-880,-92,253,-238,51,-15
-865,-54,281,-211,58,-14
-904,-26,321,-244,55,-17
-875,-49,312,-201,50,-11
-946,100,375,-168,48,5
-932,-5,323,-179,30,24
-938,-188,277,-166,39,20
-938,-251,293,-84,37,8
-971,-134,337,-42,26,-3
-929,-72,305,-48,14,-14
-931,-99,289,-55,11,-21
-872,-122,284,-33,3,-24
-841,-109,285,-25,-7,-31
-862,-121,238,-12,-8,-37
-1019,-86,185,19,-8,-34
-1187,-48,138,52,-18,-24
-1231,32,111,50,-48,-18
-1136,20,142,38,-70,-30
-930,-23,100,-63,-80,-76
-835,-65,89,-82,-45,-107
-782,-115,73,-68,-31,-121
-800,-26,110,-24,-10,-116
-803,46,107,-10,-10,-88
-811,117,134,8,-1,-45
-822,135,162,-17,0,-3
-839,94,162,-49,0,17
-840,62,125,-92,1,25
-855,17,78,-125,8,25
-860,-58,18,-130,21,30
-861,-82,33,-84,43,45
-901,-52,99,-34,67,65
-985,12,164,-10,76,88
-1074,4,189,1,69,113
-1181,24,163,20,64,132
-1283,51,145,17,47,147
-1281,27,109,3,52,152
-1316,-32,211,-15,62,147
-1064,-193,329,-24,35,121
-823,-297,428,-11,24,64
-772,-223,469,11,13,-5
-978,51,495,-47,-46,-57
-995,90,259,-123,-133,-90
-1013,267,83,-170,-152,-102
-903,227,-74,-246,-156,-70
-692,59,-143,-265,-88,-56
-652,-93,-84,-266,-5,-79
-692,-203,3,-164,41,-89
-769,-74,114,-34,48,-75
-790,41,142,32,35,-42
-799,56,176,42,37,-18
-749,16,130,57,58,-1
-829,84,240,70,100,1
-843,72,323,27,89,14
-890,14,349,19,89,20
-981,53,396,29,48,33
-1035,130,362,-11,22,52
-1046,-154,158,-46,15,70
-1112,-50,234,80,30,83
-1243,-85,181,44,41,66
-1393,-93,284,46,8,43
-1015,-213,285,68,-60,26
-766,-205,285,97,-71,-4
-796,-159,210,67,-72,-47
-994,-190,20,145,-66,-54
-1168,53,-9,293,-63,9
-1173,163,113,327,-92,70
-1039,193,251,111,-107,38
-896,-5,198,-19,-128,-31
-809,-45,96,-128,-109,-102
-868,-95,22,-130,-89,-139
-851,-61,-14,-98,-86,-144
