xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-786,216,543,-191,-288,135
-1371,513,696,-117,-271,138
-752,263,739,-9,-291,198
-1003,558,684,-14,-179,185
-756,324,894,-88,-189,222
-400,89,620,-76,-151,172
-500,87,673,-57,-111,94
-355,27,734,64,-152,77
-284,258,625,8,-112,29
-308,175,556,-52,-36,13
-546,163,787,-22,-23,16
-436,126,619,0,-27,-12
-584,164,610,7,40,-66
-633,275,848,18,24,-74
-568,330,824,-22,30,-80
-520,304,749,-125,120,-102
-583,137,852,-182,190,-115
-635,21,950,-171,235,-129
-585,-180,849,-83,321,-183
-821,-90,596,-24,436,-274
-1713,130,336,-56,436,-311
-1672,-220,1070,-12,343,-239
-762,39,521,191,246,-160
-716,437,222,186,316,-69
-981,311,225,25,373,55
-1961,-551,799,-85,183,115
-1961,-1852,825,83,-393,-130
-1961,-1353,861,368,-436,-373
-1961,-984,1147,352,-436,-425
-1498,-605,1339,111,-436,-436
-840,-703,1556,-5,-436,-436
-1203,-637,1673,-10,-436,-436
-1127,-415,1060,46,-436,-401
-464,-213,235,18,-436,-398
-24,-202,24,29,-436,-355
279,-141,-73,141,-436,-233
264,23,17,178,-436,-135
427,122,-196,125,-403,-125
555,133,-334,135,-165,-105
457,330,-22,218,110,50
36,50,348,172,270,66
-108,-98,714,368,355,-9
-53,538,1404,436,313,-62
906,617,1961,94,190,135
282,-390,1163,-355,-129,165
920,-722,230,41,-42,1
649,119,924,68,113,-73
629,69,1442,13,34,-32
871,31,996,-17,-21,14
857,-78,1075,-45,36,-8
720,-1,1094,-5,-27,4
914,-28,839,-6,-9,-2
678,-7,1183,-11,47,-9
587,5,1225,-8,-50,-4
928,159,927,-26,-32,12
700,245,1234,-165,6,87
546,-259,1214,-188,-52,61
763,-323,999,-77,-1,-45
278,286,890,-128,186,-14
-79,-251,789,-176,339,1
-353,-259,590,-15,419,-79
-544,-58,959,72,207,-163
202,-16,701,7,11,-155
638,103,299,-77,-13,-124
1085,85,151,-50,113,7
477,48,184,-40,237,84
1114,130,448,127,436,161
206,853,813,16,436,317
-648,141,946,-126,436,344
-1122,-563,1643,-40,436,384
-941,-263,1683,-14,237,280
-689,-215,1148,148,197,305
-942,285,1295,16,354,278
-1068,-170,1067,-78,315,193
-1394,-142,1015,-6,436,200
-1431,55,1105,-64,436,160
-1408,-124,955,-112,436,71
-1555,-285,850,-46,413,41
-1249,-332,679,55,344,23
-1304,-126,734,110,251,-19
-1211,273,808,141,87,12
-957,362,596,-19,-31,10
-883,159,293,-161,-42,-34
-949,-35,234,-137,-1,-60
-946,-25,271,41,-17,-5
-919,182,228,86,-48,-12
