xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-799,-1087,335,-157,-15,-436
-519,-1158,180,-70,10,-436
-482,-800,347,-66,0,-436
-250,-1136,127,-25,-16,-436
-160,-501,316,15,0,-421
-18,-918,235,-89,-21,-398
141,-645,166,70,-13,-401
217,-330,280,-34,-12,-363
212,-649,242,7,-29,-350
327,-269,277,-7,-33,-339
318,-599,298,-120,-25,-324
66,-965,531,-91,-46,-369
140,-625,618,-89,-108,-436
371,654,351,23,-109,-436
502,1794,-90,-50,-128,-299
835,1961,-738,20,-73,-125
864,1959,-998,-14,54,72
650,852,-907,-83,184,193
523,127,-460,33,239,207
629,101,-46,9,268,203
560,-408,182,-61,266,186
683,-559,192,13,240,133
807,-387,259,-20,254,108
710,-521,335,-32,265,74
793,-469,373,1,280,33
707,-325,565,-23,308,23
554,-532,638,-39,304,-11
528,-483,768,-42,328,-30
326,-452,1001,-25,327,-57
345,-374,883,-71,306,-71
168,-510,941,-81,340,-89
40,-336,1154,-68,326,-102
51,-500,1098,-133,316,-107
-66,-528,1512,-64,351,-132
-163,94,1961,-50,265,-131
69,321,1961,-55,180,-95
151,862,1961,9,76,-15
221,1002,1961,-19,-28,92
124,612,1674,69,-61,187
-15,454,1440,116,-71,234
24,338,1191,117,-70,276
-51,141,1120,131,-20,307
-194,207,1370,102,-21,316
-26,-107,1137,58,-12,335
-183,-79,1310,177,28,315
-292,231,1602,62,-19,304
-56,-245,1231,29,0,329
-225,-87,1388,127,16,310
-145,222,1365,84,-22,305
-67,337,1200,45,4,347
-218,433,1178,10,24,398
-456,504,1075,-40,34,436
-753,103,961,-96,45,436
-785,-618,941,-118,56,436
-580,-1127,1217,-69,49,344
-320,-1958,1143,-67,16,144
-140,-1157,1149,102,15,-68
20,-22,1193,89,-1,-96
151,157,1170,2,23,-57
72,0,1202,-42,33,-29
-42,-66,1116,-82,29,-41
-101,-69,982,-154,49,-61
-181,-223,893,-177,87,-82
-321,-286,847,-152,143,-106
-369,-201,729,-104,190,-76
-404,-165,707,-124,257,-67
-440,-195,708,-128,298,-50
-444,-189,714,-135,333,-37
-434,-62,763,-172,361,-25
-479,-80,800,-219,379,32
-682,-231,866,-236,334,118
-722,-506,965,-167,280,152
-958,-351,1043,-100,221,194
-1011,-388,955,-110,111,248
-985,-419,792,-107,92,251
-1178,-458,765,-69,89,254
-1148,-328,708,-72,64,223
-1137,-221,641,-136,86,187
-1186,-218,587,-167,123,192
-1282,-332,588,-138,131,204
-1266,-356,586,-87,102,180
-1183,-280,560,-68,69,146
-1105,-274,510,-78,44,108
-1058,-283,466,-71,33,63
-1026,-243,447,-47,24,19
-997,-159,438,-25,13,-8
