xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-843,-465,-848,-178,302,-233
-901,-503,-773,-145,301,-205
-871,-433,-714,-65,287,-182
-809,-283,-602,-41,278,-162
-758,-231,-438,-30,271,-141
-663,-224,-189,18,260,-109
-592,-53,122,41,207,-82
-467,-22,265,35,138,-50
-403,14,441,46,81,-13
-386,54,491,-4,-3,16
-374,-92,398,-25,-74,46
-405,-103,326,-32,-135,74
-493,-137,154,-65,-212,100
-580,-244,-117,-62,-272,123
-643,-361,-374,-31,-310,153
-758,-354,-568,-28,-331,166
-809,-591,-873,-15,-356,172
-825,-594,-1227,-11,-348,163
-707,-734,-1633,-48,-262,139
-560,-908,-1740,-64,-134,96
-502,-1044,-1728,-59,-30,39
-464,-986,-1515,-17,81,-14
-539,-856,-1279,-12,153,-57
-638,-785,-1180,-5,203,-89
-749,-657,-1052,19,254,-108
-796,-573,-927,22,280,-120
-818,-491,-762,26,301,-132
-739,-362,-554,37,309,-135
-646,-251,-301,38,298,-122
-565,-159,-43,59,262,-99
-475,-64,166,74,201,-68
-386,22,276,49,141,-38
-354,-18,344,26,85,-10
-365,12,420,5,8,17
-381,0,386,-33,-81,43
-454,-71,259,-73,-169,68
-538,-179,51,-94,-249,89
-636,-240,-170,-114,-309,101
-754,-345,-452,-127,-345,108
-802,-389,-659,-99,-353,107
-928,-315,-995,-140,-367,107
-798,-618,-1429,-125,-329,93
-729,-579,-1481,-40,-248,85
-613,-592,-1596,-54,-182,66
-453,-772,-1664,-31,-74,34
-461,-679,-1527,-18,35,0
-525,-704,-1351,-4,119,-30
-602,-646,-1241,22,174,-55
-680,-549,-1143,35,229,-76
-776,-510,-1059,40,266,-87
-816,-443,-933,57,298,-97
-772,-355,-773,61,317,-104
-714,-263,-529,50,336,-101
-676,-214,-250,52,308,-89
-554,-175,-146,49,253,-68
-440,-170,-64,28,215,-57
-365,-147,48,4,168,-47
-278,-137,127,-13,114,-35
-317,-120,249,-80,43,-4
-206,-210,52,0,0,-5
-198,-135,-18,-48,-55,16
-269,-251,-42,-59,-100,28
-350,-266,-124,-54,-163,38
-398,-354,-196,-25,-219,50
-518,-354,-227,24,-277,76
-643,-411,-362,79,-347,112
-701,-361,-526,123,-387,145
-804,-389,-612,104,-389,174
-889,-612,-626,126,-373,182
-956,-587,-533,186,-344,190
-1023,-496,-484,196,-318,212
-980,-544,-383,161,-262,206
-1022,-471,-237,131,-194,192
-1029,-454,-147,72,-151,180
-1051,-491,-72,41,-122,163
-1031,-511,-14,59,-104,149
-1004,-470,40,98,-89,142
-975,-402,113,129,-70,132
-970,-329,193,145,-55,123
-960,-272,228,150,-47,112
-962,-245,275,159,-38,104
-958,-147,321,162,-36,97
-947,-70,351,118,-23,80
-947,-35,361,46,-11,56
-947,-64,361,-10,-1,25
-960,-76,351,-36,2,-1
