xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1777,-413,-8,398,-126,-436
-1638,-165,60,411,-163,-436
-1415,74,237,357,-143,-436
-1320,42,336,336,-175,-407
-1100,161,367,332,-215,-345
-818,285,383,278,-215,-304
-661,192,399,217,-184,-250
-542,145,435,216,-149,-214
-363,252,500,164,-111,-187
-261,243,517,117,-66,-155
-133,234,575,75,1,-128
-103,260,661,18,80,-104
-660,-495,1742,100,60,-61
-634,651,931,78,-240,56
774,-115,689,-146,21,-36
-655,-177,1388,-104,39,-42
-38,-447,1160,-51,-9,56
-80,-473,1291,-4,30,55
-56,-449,1441,-19,79,17
-203,-619,1687,-61,90,-29
-412,-790,1961,75,20,-110
-664,-289,1961,194,-123,-77
-633,87,1961,141,-258,-86
-627,198,1961,89,-359,-60
-578,76,1917,58,-436,-36
-393,9,1489,104,-436,-6
-270,57,1287,140,-436,51
-80,-81,1082,143,-436,46
16,56,820,217,-436,94
46,146,684,266,-426,154
166,55,642,224,-358,152
167,156,608,270,-349,161
319,277,412,283,-330,234
296,133,391,173,-304,242
341,-69,31,156,-325,251
712,-43,-69,150,-201,269
498,-143,114,36,-156,231
702,-169,-61,71,-134,221
640,-26,78,23,-54,252
516,-332,141,-3,-59,246
468,-240,143,39,-71,269
521,-461,94,32,-38,283
388,-399,191,33,-29,277
325,-641,119,29,-38,287
326,-633,178,68,-3,285
121,-636,124,52,-12,310
203,-807,109,87,35,312
-94,-739,321,99,62,302
-178,-881,393,117,37,303
-237,-843,451,73,43,294
-371,-1133,394,116,33,270
-205,-769,488,125,44,232
-443,-737,449,80,48,252
-390,-859,461,98,54,255
-509,-602,502,73,92,264
-729,-781,504,76,101,292
-710,-872,624,107,105,283
-976,-783,656,92,95,253
-843,-852,614,114,65,234
-913,-581,618,137,80,223
-956,-452,608,91,64,208
-959,-297,642,66,91,231
-1073,-300,600,15,81,236
-1019,-367,500,-5,89,203
-1083,-281,557,72,121,237
-1336,-321,591,62,106,247
-1151,-355,553,110,69,220
-1343,-136,559,53,74,214
-1316,-605,404,83,34,231
-1056,-444,401,169,77,170
-1276,-323,556,112,97,111
-1184,-403,517,109,90,97
-1239,-371,588,90,97,35
-1249,-360,687,107,44,-14
-1201,-183,635,163,-36,-49
-1096,50,487,147,-99,-65
-927,183,305,105,-98,-87
-840,299,262,55,-62,-87
-825,363,275,30,-32,-62
-799,370,286,-6,-24,-33
-752,338,223,-25,-10,-15
-762,267,222,-25,7,0
-790,237,260,0,14,21
-813,246,283,12,15,33
-836,266,303,-1,16,54
-866,109,305,-7,30,64
