xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
-1521,-1124,-41,-17,324,-293
-1045,-1201,-647,6,276,-301
-709,-1480,-728,117,310,-243
-484,-784,-421,429,196,-174
-98,-356,-311,332,119,-161
68,-208,-307,330,48,-133
18,-248,-152,279,-17,-74
180,-783,-324,275,-78,-107
225,-611,-377,325,0,-112
67,-648,-123,311,24,-93
98,-114,-7,190,31,-168
33,225,40,153,68,-157
68,1033,471,150,88,-92
-37,954,1005,104,63,15
-132,529,1290,20,22,71
-178,237,1269,-68,-79,69
186,-196,396,-130,-78,65
-42,-597,861,-90,-34,90
291,-553,312,-101,-97,73
304,-835,277,-120,-10,69
288,-596,280,-91,-44,94
293,-685,305,-166,0,76
176,-1150,228,-94,-15,86
250,-633,201,-146,-11,79
206,-1550,151,-217,38,55
149,-926,360,-16,-20,71
138,-1485,42,-287,22,23
94,-1166,363,-6,0,87
51,-915,318,-118,-19,82
25,-1053,221,-135,-32,80
1,-873,175,166,-59,202
14,31,7,-325,47,125
-210,-1248,-126,-436,-11,56
-199,-865,-45,30,-70,234
-501,-712,148,-321,-20,183
-752,-1662,-90,-229,-126,151
-643,-1703,-613,-238,-51,137
-942,-1961,-230,-230,-38,-3
-742,-1678,178,30,-92,-3
-606,-726,435,138,-155,32
-594,-393,459,129,-227,89
-628,-292,336,145,-346,144
-604,-104,124,127,-398,183
-716,84,98,12,-406,220
-924,-16,-92,-106,-400,271
-1042,-195,-122,-123,-335,336
-1232,-104,-27,-201,-280,374
-1202,-244,-291,-296,-193,360
-1258,-281,-181,-307,-47,360
-1379,-318,-127,-324,87,358
-1460,-568,-19,-338,125,306
-1300,-821,15,-237,89,243
-1207,-903,137,-34,37,194
-1151,-740,249,161,-46,145
-1104,-451,283,248,-134,96
-1011,-224,245,228,-182,47
-883,-13,220,128,-161,3
-780,76,227,-6,-84,-11
-790,-23,250,-115,3,-7
-828,-178,322,-140,69,-11
-945,-214,427,-116,79,-30
-968,-196,467,-79,55,-46
-951,-148,473,-42,35,-58
-913,-53,457,-29,11,-69
-859,61,424,-26,17,-72
-887,119,477,-35,33,-40
-952,-17,547,-34,9,-5
-940,-31,476,-6,-20,-10
-910,36,404,-10,-20,-13
-901,-51,370,-3,-9,0
-908,-95,385,23,3,-5
-913,10,405,12,-1,-15
-901,-13,381,-8,-6,-4
-898,-58,374,-3,-5,-4
-884,-46,354,0,-7,-4
-885,-82,345,8,-1,0
-884,-78,360,21,6,-4
-900,-53,380,22,6,-2
-898,-55,404,17,10,-2
-910,-22,412,-2,5,-1
-912,-89,406,-7,1,4
-913,-103,402,9,0,0
-906,-94,395,25,-2,-1
-905,-84,416,38,3,-5
-909,-7,441,21,2,-8
-907,-28,424,-2,-1,0
