t_mean_x_acc,t_std_deviation_x_acc,t_rms_x_acc,t_skew_x_acc,t_kurtosis_x_acc,f_mean_x_acc,f_max_x_acc,f_average_E_per_coeff_x_acc,t_mean_y_acc,t_std_deviation_y_acc,t_rms_y_acc,t_skew_y_acc,t_kurtosis_y_acc,f_mean_y_acc,f_max_y_acc,f_average_E_per_coeff_y_acc,t_mean_z_acc,t_std_deviation_z_acc,t_rms_z_acc,t_skew_z_acc,t_kurtosis_z_acc,f_mean_z_acc,f_max_z_acc,f_average_E_per_coeff_z_acc,t_mean_x_gyro,t_std_deviation_x_gyro,t_rms_x_gyro,t_skew_x_gyro,t_kurtosis_x_gyro,f_mean_x_gyro,f_max_x_gyro,f_average_E_per_coeff_x_gyro,t_mean_y_gyro,t_std_deviation_y_gyro,t_rms_y_gyro,t_skew_y_gyro,t_kurtosis_y_gyro,f_mean_y_gyro,f_max_y_gyro,f_average_E_per_coeff_y_gyro,t_mean_z_gyro,t_std_deviation_z_gyro,t_rms_z_gyro,t_skew_z_gyro,t_kurtosis_z_gyro,f_mean_z_gyro,f_max_z_gyro,f_average_E_per_coeff_z_gyro,label
-4526.174242424242,1511.4290824099983,4771.862439754461,-1.2293716236876087,0.5843152493146255,9460.461982422807,60572.90456543888,5624691507.925374,-1123.909090909091,2757.8925047022976,2978.110594340179,0.45107966152726303,1.05364359044236,7403.626843704281,62500.33546265923,1317523788.7164176,-650.2045454545455,2607.7278358250724,2687.5658906651324,1.3340399870916488,1.481361635811015,2736.1797708150148,123116.65272881881,994181078.1940298,-1214.469696969697,5555.639180474843,5686.832452999196,0.166776405523524,0.3125268827379122,18546.701176371174,331972.8249920948,4397504943.164178,27.386363636363637,8064.270324924035,8064.316827007954,-0.5518020536616745,1.3438006630261263,9197.927481296845,221138.83959584744,8456502231.925371,89.5909090909091,8242.418828889153,8242.905718362803,-0.3583018716720116,1.5251636428272848,8716.602138449867,413330.6368202809,8836315842.746271,final
-4504.733766233766,1887.8521811018495,4884.323101755008,-1.7782464810446943,2.932059996710181,10821.250215203256,54947.118822506316,6711816989.564102,-768.9545454545455,2681.694510190494,2789.7628105201056,0.45510520563187706,0.8625041505606865,6036.247172517588,121333.51106635026,1273081640.2564104,-1268.0974025974026,2761.086473924125,3038.3662614900527,0.8110452906293187,0.9888619232178044,3490.4374217304303,162689.7096882088,1647934087.4102569,-1311.9155844155844,6035.616965581205,6176.552003816058,0.16925774960581824,1.758256815332147,24719.77440700227,360414.35459902685,6061624048.743589,244.7987012987013,8893.393597511473,8896.762112387607,-1.0078501880659476,2.952265756047689,11973.986112535911,414276.9127917417,12042320049.10257,-590.9415584415584,7703.6989531990175,7726.3309201077445,-0.6469561295607321,2.15763072650366,8879.617133452686,381410.8804287681,9128639875.153845,final
-4487.477419354838,2151.746100669914,4976.6921615635165,-1.293459139121336,0.9593515171875837,13235.530045561376,26680.858934953034,6915645294.9102545,-869.1032258064516,2654.4380297645985,2793.0953565833984,-0.4446147058311321,0.41776730570630516,6429.385812760655,47080.01315713555,1317790052.3461537,-1661.8516129032257,2004.748491323822,2603.9906483653494,1.8392662420029624,3.303661970753679,3082.4577620944597,99563.97225475765,1469608954.3205128,-1986.2967741935483,5612.288653021003,5953.415725447031,-0.8512810739542258,2.278089158699366,8304.566368016849,226187.6300563848,6066086676.576924,867.7870967741935,6217.828788133618,6278.092806248644,0.42922640452400024,0.9678498346436148,14348.878368754456,134507.0,6186053058.294871,-252.96129032258065,10732.67714363333,10735.657785337187,-0.41170422121860994,1.7303633368834292,22321.111080775594,425527.21556216857,17759763194.846153,final
-5581.640522875817,3042.7555442639073,6357.127671264608,-1.5555015511068024,1.4516345165658926,14422.953928618683,72224.17370437435,10878767765.480516,-592.7647058823529,3067.0350093466895,3123.791565565481,-0.3273262132250805,0.7671891334523271,8256.687556165823,120081.03466053824,1536701094.4675324,-1537.9477124183006,2749.9591055565406,3150.8027942678377,0.7166479747784125,1.7512749678151636,1995.4633491607117,167156.29628686624,1868591718.6493506,-2362.3660130718954,4564.164843178612,5139.297023467785,-0.5537612530210378,0.7549068848357288,3644.104178914866,294105.69651538157,4863166103.129871,782.1895424836601,8800.273550228134,8834.96661222982,-0.3476911562361548,1.624324576072473,18670.70288849546,179107.69026207566,11958116073.103895,-1472.549019607843,12305.184536195273,12392.980556951072,-0.4544308637583071,1.208912882287411,29325.84385198144,508796.55311108945,23675675282.415585,final
-4902.581699346405,2328.2921947167224,5427.361408893376,-1.2456161472061418,0.9240172377474583,14102.208661731194,58004.304840193276,8131064343.376625,-488.6143790849673,2537.4492856883467,2584.065186656267,-0.2686700746194851,0.4099407796069996,5563.295903874313,87602.01494944027,1051297718.8311689,-1435.1045751633987,2351.474701141772,2754.8064200166054,1.4525955568928357,2.387525397682845,1603.5191404231537,121164.83389609374,1466632152.6103897,-2503.424836601307,5446.598692417671,5994.378468928882,-1.1995501759980898,1.7309632803241364,2993.903199367579,333779.57923857326,6414629813.558442,305.1503267973856,8147.310515595474,8153.023081009714,0.14834875318648624,1.262012322501426,19098.360533411676,159078.97467739452,10118297356.0,-331.19607843137254,10322.706160273921,10328.017879231498,0.03591963542018336,0.8246937060332917,21767.38301854552,367784.082934952,16230895273.05194,final
-4843.709219858156,2094.936030570981,5277.3360683893725,-1.3407154602288454,0.8586492274440349,13235.25221564081,36356.696749025214,7184012648.605635,-623.5035460992908,2980.1507997070416,3044.6765774040614,-0.3699309502849277,0.9243635209801235,6680.170541223587,64670.78066336,1352301718.4225357,-1577.2056737588653,2233.525078625096,2734.2662661460745,1.4255489295046524,2.6621567619570756,2982.2035807389593,115742.69377102617,1395000732.746479,-1246.5035460992908,4067.401775131397,4254.118979386935,-0.9351301790572727,3.5888979139443427,9049.118811761906,183995.97543722115,2751320302.8028173,867.1347517730496,7278.237172801123,7329.710705155872,0.19166507052300955,0.709921533667274,12057.8799583928,143796.44984226872,7627105075.760566,-394.6666666666667,10746.547968696683,10753.792587793228,-0.20873146621817865,1.4992875529602232,24346.319880397714,313737.25723364885,16212789843.535212,final
-4765.394736842105,1981.959172125475,5161.118983117395,-1.2236653812620089,0.4899838659125,12638.80301073582,30849.541151648064,7403216211.220779,-639.4868421052631,2961.141005163119,3029.4057954794057,-0.4677536773392207,1.2278612665273387,8266.870339034236,107847.56019493294,1438228785.0649345,-1063.3947368421052,2405.4065121969857,2629.9788697370095,0.8738214674571098,1.2590152887011063,2441.996382605494,143227.03946599443,1207349549.4025977,-1051.6907894736842,5174.252614773858,5280.051480635193,-1.2541477224347277,6.169320296191996,8889.064141874496,235387.9469632286,4348550436.532467,910.9407894736842,7473.587831959991,7528.899534722678,-0.24975167625492703,1.5311562322940286,11962.329008708195,138463.0,8628619621.83117,-567.8092105263158,10320.832945102087,10336.440392139992,-0.29591167112884587,1.8237414015329065,26112.785179349543,391623.43031829246,16077697992.22078,final
-5424.064,2542.190626193087,5990.259047487011,-1.1712680188916815,0.33741909220193955,13843.39228971125,126157.94367950219,8098173825.904763,-368.872,3427.7638494528755,3447.5544317675394,0.49410574367105864,0.4273804978593687,6769.5974513135225,133168.8893597093,1490785976.2380953,-1405.608,2555.576747103479,2916.625851904903,1.341609826452896,2.601485856531852,2019.7033390511783,129247.05917492554,1299905779.9682539,-2380.464,7008.2054028619905,7401.456061073389,-0.9303037837625309,1.3764105103345523,14323.382662977896,304273.0653474042,7496051671.539683,648.784,7763.019208100931,7790.082663489522,0.0818500453824903,0.8953807775078655,16649.05236594892,267406.25504209945,7577667234.952382,-936.392,12356.09845535135,12391.529325147885,-0.29061579454004544,1.0803860768347953,13931.575501826625,438238.9849086222,19150152404.968254,final
-4381.714285714285,1421.965969026209,4606.669870817888,-0.715324402385073,0.4888689753259836,8944.154690434574,90702.0349783885,6145003281.384615,-779.4285714285714,2277.6321746102985,2407.3049704553887,0.12793446988159113,1.2078013200898683,5165.195705496069,107479.62285294964,973369125.2051284,-1237.2727272727273,1621.6695832715573,2039.7686238789533,1.5556065027816213,3.2062161697658,2704.2388412519895,97183.74728867356,865253986.4358976,-486.26623376623377,7612.364723846319,7627.879884932709,-1.0831229296205696,3.539628352842139,25813.83152235356,285075.7725808342,8881711296.743587,1004.1168831168832,6643.813352019171,6719.263841480596,0.2840509293060668,1.8270681095999084,4080.1569068101808,259371.6471325539,7017051128.205129,-783.077922077922,8954.888892936486,8989.062582765964,-0.3282265701907227,1.8681330761485295,6165.147888092557,426581.91370373644,12377395370.794874,final
-4513.27950310559,1634.739921614141,4800.215253972685,-1.0378277611995623,0.6410531147716712,9380.596714843994,103699.38378202498,6946149311.037039,-669.2857142857143,2458.294928529616,2547.774974949979,-0.017045047005473418,1.7429601148242355,4782.6858440311225,100197.93080476217,1110298944.4074075,-1089.5776397515529,1830.1656974156504,2129.9497442530137,1.360885894780547,1.8999266480083197,2481.293688092907,107325.56167953748,915853787.8765432,-1094.8198757763976,6431.731975898194,6524.247601845467,-0.4798667816091742,1.7658686931166452,21958.591592815832,407437.4391347309,7002580123.740741,512.6521739130435,7420.734473585766,7438.421363359432,0.047811191451418725,0.8593658773304309,6751.204531229338,352662.55833970074,8895211107.049383,-1001.3478260869565,9101.63579882324,9156.553482791973,0.06362652233853587,1.4339292724201655,6589.276982806337,623487.2627755135,13575750799.938272,final
-4555.211538461538,1542.3430353150407,4809.238421904029,-1.404355932695587,1.4858981628968477,9821.110645624538,51153.49672333776,6758437233.101267,-631.8782051282051,2512.7566722904885,2590.9874874758484,0.16893977638196456,1.4829299570332735,7485.92424721607,128874.86786805013,1095530455.8860755,-1076.621794871795,2117.8122642123076,2375.7616201212245,1.251794767709686,1.564261073091334,3160.864748974317,108696.81888470697,1047890985.3544304,-1156.9102564102564,6272.57011935319,6378.367913784038,0.010357469443313096,0.40390652528183235,17754.528999928647,441057.92503668705,6472486922.911392,817.6153846153846,7313.964002440406,7359.522018864666,-0.040312729950304056,2.147828513696334,7969.73743750386,307829.57177701313,8445447199.544302,-478.37179487179486,9663.696268348709,9675.529191782,-0.3817978784021792,2.3785156055295174,13329.920013887622,454878.57526558987,14454482049.696203,final
-4658.858974358975,1799.5413106760614,4994.3283704413025,-1.108126602609233,1.1638315954521454,10845.943548170666,59071.17512011437,7185021203.670888,-491.5769230769231,2484.950843135692,2533.1065046899557,0.4059480982796444,1.1778051035570165,5982.049037538562,111893.75939480025,1025563143.1392401,-983.0705128205128,2435.4931004755153,2626.4147188974225,1.2116689763256296,1.3853005547810575,2585.0557882660255,125744.95210878791,1211329328.7468352,-1187.9935897435898,6739.69929282095,6843.601049661142,-1.0210068407648583,2.1565619023344444,17454.70281781165,360616.96366619505,7431426507.025316,779.8012820512821,7083.238509850862,7126.033807590523,0.6021710153232785,0.1888073114913542,10866.626572659445,224457.45923433598,7915137406.62025,-788.8782051282051,10499.503091015447,10529.097491274797,-0.08514503408762363,1.0565548167176768,9900.570706883618,502706.6355619635,17171417735.835443,final
-4150.19375,1444.6660318948934,4394.447417622607,-1.3085810017751576,2.0407966086462253,9289.93886868791,49784.7487367613,5773477825.444445,-1078.2875,2486.3720392056675,2710.1198958717673,0.21828601614652846,1.028502155004527,8726.598803460858,69833.53959849897,1344421558.2469134,-920.0,2353.6998481114792,2527.113565908742,1.3489991487260415,1.3210582755326126,3207.839795354613,109912.73284254616,1142945687.308642,-989.7125,5832.997827433484,5916.366662699329,-0.8539979069955557,2.547922088690389,16166.336833759866,418550.88636109437,5686372137.530864,108.975,6762.320223996716,6763.1982347481135,-0.4905179436137758,2.1321982930446177,7273.424765358037,146860.4237604787,7230179463.209875,-639.55,7973.1624527222575,7998.771386906867,-0.4451381958958614,1.3356770307368286,13210.53954206729,215074.69524113814,10175110621.629627,final
-4677.167741935484,1686.2573477468927,4971.856990002051,-1.0537421567795788,0.38176440491233654,12213.556223323574,72323.1379000406,7175968729.910259,-706.6064516129032,2908.6688774537492,2993.266997133572,-0.018433694690576666,1.254240588908254,8777.90431969401,64038.082124064094,1456737393.2435899,-1179.2516129032258,2135.034155784953,2439.0582635318956,1.313431811303874,1.9386899478851891,4161.7121253443975,80869.76962496038,1130351544.2051282,-1217.9935483870968,5388.04045354066,5523.992054022456,-0.08975861683021108,1.5929734029146259,13889.246479070393,349506.1552950943,4927896575.871795,1284.2516129032258,6838.654601312,6958.196530803821,0.5530546807139106,2.302712487822193,3447.7888612498514,199059.0,7710454314.269231,-748.5548387096774,10469.688001107823,10496.413729798229,0.010696351217145676,1.4436056946015006,30372.30243537533,521763.61230689415,17053905312.153847,final
-4676.894736842105,1720.7929978795376,4983.419801808055,-1.13673929633881,0.4627842328088678,12679.421525718592,53614.633676207515,7007399893.428571,-607.3157894736842,2688.234573834884,2755.9821465505293,0.10001970537954497,0.8262506518469248,6817.785754004802,51794.092571839086,1194895697.7662337,-925.4671052631579,2209.150702841548,2395.1693449085124,1.5111907572057999,2.3150273423992322,3374.0087625232995,72251.31122154121,989170361.155844,-1555.5986842105262,5329.424580447919,5551.815345002029,-0.64018360497267,1.6540841315575552,9066.465661954373,312524.98157675395,4987299904.636364,1182.0855263157894,7063.494928470421,7161.72373078246,0.4981525327174531,2.5575112833386484,7746.755986351361,179677.0,7904620306.714288,-438.7368421052632,10570.982191666837,10580.082916175936,-0.43972386368659994,1.2855111781642528,25571.406993797118,483740.63248655916,16822985411.11688,final
